Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	1997	82	82	2		82	82			50580	50580	82	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	1998	78	78	2						51132	51132	54	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	1999	74	74	1	25	25	25	10947	43996	51721	51721	25	gov	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2000	77	77	1						52459	52459	48	interpolated		W: AP	Estimate of 77 percent assigned by working group.  Estimate based on survey result.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2001	79	79	1	70	70	70	31874	45430	53115	53115	70	gov		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2002	82	82	1	74	70	70	34600	46683	54462	54462	70	gov		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2003	84	84	1	84	84	84	40463	48090	55446	55446	84	gov		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2004	87	87	1	73	80	80	35626	48862	56225	56225	80	gov		W-I:	Estimate informed by interpolation between 2000 and 2005 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2005	89	89	1	92	80	80	46132	50083	57169	57169	80	gov	89	W: AP	Estimate of 89 percent assigned by working group.  Estimate based on survey result.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2006	90	90	1	87	87	87	45697	52725	58117	58117	87	gov		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2007	92	92	1	93	93	93	50673	54262	59432	59432	93	gov		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2008	93	93	1	87	89	89	47734	54908	59612	59612	89	gov		W-I:	Estimate informed by interpolation between 2005 and 2009 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2009	94	94	1	83	83	83	47485	57087	59773	59773	83	gov	94	W: AP	Estimate of 94 percent assigned by working group.  Estimate based on survey result.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2010	93	93	1	89	93	93	51787	57912	60273	60273	93	gov		W-I:	Estimate informed by interpolation between 2009 and 2011 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=Assigned by working group. .	
Guinea-Bissau	Wed Sep 06 18:48:11 2023	gnb	bcg	2011	92	92	1	99	99	99	58564	59062	61675	61675	99	gov	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate based on survey result.   GoC=Assigned by working group. .	
