Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	1997	99	99	1		99	99			25775	25775	99	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	1998	99	99	1						26476	26476	74	interpolated		W: AP	Estimate of 99 percent assigned by working group.  Estimates since 1990 are based on survey results. After 1998 coverage has dropped dramatically. Contributing factors include lack of resources to maintain motorcycles and cold chain, insufficient trained staff and limited external financial support.   Estimate challenged by: S-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	1999	73	73	1		48	48			27204	27204	48	gov	73	W: AP	Estimate of 73 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2000	73	73	1	34	34	34	5592	16304	27991	27991	61	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels. Reported data excluded due to decline in reported coverage from 48 percent to 34 percent with increase to 73 percent.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2001	73	73	1	55	73	73	7914	18486	28972	28972	73	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2002	72	72	1	45	91	91	8502	18674	30087	30087	67	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels. Reported data excluded due to an increase from 73 percent to 91 percent with decrease 60 percent.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2003	72	72	1	60	60	60	11492	19219	31341	31341	60	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2004	72	72	1	58	58	58	11583	20097	32742	32742	58	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2005	72	72	1	42	42	42	9531	22502	34243	34243	42	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2006	72	72	1	47	47	47	10535	22322	35769	35769	47	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2007	72	72	1	56	56	56	12848	22970	37362	37362	56	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2008	71	71	1	71	71	71	16606	23316	38925	38925	71	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2009	71	71	1	68	68	68	15990	23622	40441	40441	68	gov		W-I:	Estimate informed by interpolation between 1999 and 2010 levels.  Unexplained temporal change in numerator and denominator levels.   Estimate challenged by: D-R-	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2010	71	71	1	58	58	58	14497	25026	41883	41883	58	gov	71	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 71 percent based on 1 survey(s).     GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2011	75	75	1	53	53	53	13652	25752	43207	43207	58	extrapolated		C:	Reported data calibrated to 2010 and 2014 levels.  Reported data excluded. .  GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2012	78	78	1	53	53	53	13944	26499	44383	44383	58	extrapolated		C:	Reported data calibrated to 2010 and 2014 levels.  Reported data excluded. .  GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2013	82	82	1	51	51	51	13921	27267	45454	45454	58	extrapolated		C:	Reported data calibrated to 2010 and 2014 levels.  Reported data excluded. .  GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2014	85	85	1	64	64	64	17824	28058	46368	46368	58	extrapolated	85	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 85 percent based on 1 survey(s).   Reported data excluded due to an increase from 51 percent to 64 percent with decrease 35 percent.   GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
Equatorial Guinea	Wed Sep 06 18:48:25 2023	gnq	bcg	2015	77	77	1	35	35	35	14879	42381	47145	47145	58	extrapolated		W:	 Programme reports district level stockout of unknown duration. Estimate is based on the change in recomputed coverage between 2014 and 2015, using the reported number of doses and an independent denominator, applied to survey result in 2014. Reported data excluded due to decline in reported coverage from 64 percent to 35 percent with increase to 46 percent.  Fluctuations in reported data over time suggest poor quality administrative recording and reporting systems. Unexplained increase of 33 percentage in target population between 2014 and 2016.  GoC=Assigned by working group.  Fluctuation in reported coverage across the time series suggests challenges in routine monitoring system.	
