Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	1997	96	96	1						110152	110152	100	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	1998	96	96	1						109292	109292	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	1999	96	96	1						108968	108968	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2000	96	96	1						110427	110427	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2001	96	96	1						109777	109777	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2002	96	96	1						109807	109807	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2003	96	96	1						109203	109203	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2004	96	96	1						109634	109634	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2005	96	96	1						110330	110330	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2006	99	99	1						111652	111652	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2007	99	99	1		100	100			112239	112239	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   The estimates are based on the National Immunization Coverage Survey conducted in 2006.  Estimate challenged by: R-	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2008	99	99	1		100	100			114808	114808	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   The estimates are based on the National Immunization Coverage Survey conducted in 2006.  Estimate challenged by: R-	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2009	99	99	1		100	100			114311	114311	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   The estimates are based on the National Immunization Coverage Survey conducted in 2006.  Estimate challenged by: R-	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2010	99	99	1						110900	110900	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   The estimates are based on the National Immunization Coverage Survey conducted in 2006.  GoC=No accepted empirical data	
Greece	Wed Sep 06 18:48:37 2023	grc	dtp1	2011	99	99	1		100	100			104474	104474	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.   The estimates are based on the National Immunization Coverage Survey conducted in 2006.  Estimate challenged by: R-	
