Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	1997	98	98	1						2311	2311	90	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	1998	99	99	1						2035	2035	90	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	1999	96	96	1						1932	1932	90	extrapolated		C:	Reported data calibrated to 1997 and 2004 levels.    GoC=No accepted empirical data	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2000	99	99	1	106	106	106	1843	1742	1958	1958	90	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2001	98	98	1	90	90	90	1652	1828	1907	1907	90	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2002	99	99	1	94		94	1756	1864	1890	1890	94	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2003	99	99	1	94		94	1592	1702	1874	1874	94	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2004	87	87	2	87		87	1553	1782	1891	1891	87	admin		R: AP	 Estimate based on reported data.  Vaccine supply interrupted by Hurricane Ivan. Attempts were made to identify and vaccinate children in specific target groups.  GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2005	99	99	1	93	93	93	1648	1767	1916	1916	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2006	97	97	1	87	87	87	1542	1773	1945	1945	87	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 91.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2007	98	98	1	91	91	91	1663	1823	1975	1975	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2008	99	99	1	99	100	100	1634	1653	2004	2004	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2009	99	99	1	92	92	92	1611	1749	2029	2029	92	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2010	99	99	1	91	91	91	1621	1788	2049	2049	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2011	98	98	1	92	93	93	1539	1669	2062	2062	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2012	99	99	1	90	90	90	1590	1775	2076	2076	90	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2013	99	99	1	99	99	99	1638	1649	2088	2088	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2014	97	97	1	97	97	97	1722	1777	2095	2095	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2015	94	94	1	94	94	94	1606	1707	2096	2096	94	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2016	98	98	1	91	91	91	1506	1658	2091	2091	91	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.    Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2017	98	98	1	77	77	77	1183	1541	2080	2080	94	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.  Reported data excluded due to decline in reported coverage from 91 percent to 77 percent with increase to 96 percent.   Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2018	96	96	1	96	96	96	1337	1386	2063	2063	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2019	98	97	1	101	101	101	1523	1503	2041	2041	88	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.  Reported data excluded because 101 percent greater than 100 percent.  Estimate of 98 percent changed from previous revision value of 97 percent.  Estimate challenged by: D-R-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2020	79	79	1	79		79	1264	1606	2014	2014	79	admin		R:	Estimate informed by reported administrative data.   Programme reports a one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2021	84	79	1	84		84	1292	1534	1990	1990	84	admin		R:	Estimate informed by reported administrative data.   Estimate of 84 percent changed from previous revision value of 79 percent.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp1	2022	79		1		79	79			1960	1960	79	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=Assigned by working group.  Consistency with GoC for other vaccine doses.	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	1997	95	95	2		95	95			2311	2311	95	gov		R: AP	Legacy estimate.   GoC=R+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	1998	97	97	2		97	97			2035	2035	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	1999	88	88	2		88	88			1932	1932	88	gov		R:	Estimate informed by reported data.   GoC=R+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2000	97	97	1	97	97	97	1690	1742	1958	1958	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2001	96	96	2	96	96	96	1762	1828	1907	1907	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2002	98	98	2	98	98	98	1832	1864	1890	1890	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2003	97	97	2	97		97	1666	1702	1874	1874	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2004	83	83	2	84	83	83	1493	1782	1891	1891	83	gov		R:	Estimate informed by reported data.  Vaccine supply interrupted by Hurricane Ivan. Attempts were made to identify and vaccinate children in specific target groups.  GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2005	99	99	2	100	100	100	1786	1786	1916	1916	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2006	91	91	2	91	91	91	1616	1773	1945	1945	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2007	96	96	2	101	101	101	1849	1823	1975	1975	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2008	99	99	1	105	100	100	1733	1653	2004	2004	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2009	99	99	1	99	99	99	1738	1749	2029	2029	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2010	97	97	1	97	97	97	1731	1788	2049	2049	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2011	95	95	1	94	95	95	1572	1669	2062	2062	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2012	97	97	1	97	97	97	1717	1775	2076	2076	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2013	97	97	1	101	101	101	1671	1649	2088	2088	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2014	97	97	1	97	97	97	1742	1777	2095	2095	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2015	92	92	1	92	92	92	1575	1707	2096	2096	92	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2016	96	96	1	96	96	96	1594	1658	2091	2091	96	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2017	96	96	1	83	83	83	1283	1541	2080	2080	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 96 percent to 83 percent with increase to 95 percent.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2018	95	95	1	95	95	95	1321	1386	2063	2063	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2019	94	92	1	94	92	94	1414	1503	2041	2041	94	admin		R:	Estimate informed by reported administrative data.   Official estimate reported for DTP3 is different from admin and is inconsistent with that for other vaccine doses recommended at the same age. Estimate of 94 percent changed from previous revision value of 92 percent.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2020	72	72	1	72		72	1162	1606	2014	2014	72	admin		R:	Estimate informed by reported administrative data.   Programme reports a one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2021	77	72	1	77		77	1180	1534	1990	1990	77	admin		R:	Estimate informed by reported administrative data.   Estimate of 77 percent changed from previous revision value of 72 percent.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	dtp3	2022	77		1	77	77	77	1158	1512	1960	1960	77	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2001	96	96	2	96		96	1762	1828	1907	1907	96	admin		R:	Estimate informed by reported administrative data.   HepB vaccine introduced in 2000. Reporting started in 2001. Vaccine presentation is DTP-HepB-Hib.  GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2002	98	98	2	98	98	98	1832	1864	1890	1890	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2003	97	97	2	97		97	1666	1702	1874	1874	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2004	83	83	2	83	83	83	1493	1782	1891	1891	83	gov		R:	Estimate informed by reported data.   Vaccine supply interrupted by Hurricane Ivan. Attempts were made to identify and vaccinate children in specific target groups.  GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2005	99	99	2	100	100	100	1786	1786	1916	1916	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2006	91	91	2	91	91	91	1616	1773	1945	1945	91	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2007	96	96	2	101	101	101	1849	1823	1975	1975	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2008	99	99	2	113	100	100	1866	1653	2004	2004	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2009	99	99	2	108	99	99	1890	1749	2029	2029	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2010	97	97	1	97	97	97	1731	1788	2049	2049	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2011	94	94	1	94	94	94	1572	1669	2062	2062	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2012	97	97	1	97	97	97	1717	1775	2076	2076	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2013	97	97	1	101	101	101	1671	1649	2088	2088	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2014	97	97	1	97	97	97	1732	1777	2095	2095	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2015	92	92	1	92	92	92	1577	1707	2096	2096	92	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2016	96	96	1	96	96	96	1594	1658	2091	2091	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2017	96	96	1	83	83	83	1283	1541	2080	2080	96	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 96 percent to 83 percent with increase to 95 percent.   Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2018	95	95	1	95	95	95	1321	1386	2063	2063	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Grenada	Wed Sep 06 18:48:45 2023	grd	hepb3	2019	94	94	1	94	94	94	1414	1503	2041	2041	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
