Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	1997	88	88	2		88	88			395916	395916	88	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	1998	89	89	2		89	89			400984	400984	89	gov	90	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 90 percent based on 1 survey(s).    GoC=R+ S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	1999	93	93	2	86	93	93			401118	401118	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2000	95	95	3	95	95	95	367049	378760	406154	406154	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2001	93	93	3	92	93	93	353514	384254	411106	411106	93	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2002	96	96	1	96	96	96	351827	367150	409264	409264	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2003	97	97	1	97	97	97	341531	353043	406252	406252	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2004	98	98	1	98	98	98	336843	343071	404259	404259	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2005	96	96	1	97	96	96	328524	342021	400462	400462	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2006	96	96	1	96	96	96	324853	337340	398396	398396	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2007	88	88	3	97	88	88	322607	332571	400490	400490	88	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2008	99	99	1	99	99	99	331052	333073	398030	398030	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2009	93	93	3	93	93	93	337211	361029	398938	398938	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2010	99	99	1	100	100	100	359636	361029	400830	400830	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2011	91	91	3	91	91	91	334250	377316	403938	403938	91	gov		R:	Estimate informed by reported data.   Decline in coverage is consistent with patterns in coverage for other antigens.  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2012	94	94	3	94	94	94	350364	373414	407582	407582	94	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2013	99	99	3	100	100	100	386176	387077	406634	406634	100	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2014	93	93	3	93	93	93	357455	385984	410334	410334	93	gov		R:	Estimate informed by reported data.  Declines in reported coverage during 2014 reflect incomplete reporting and disruptions in routine immunization service delivery resulting from human resource constraints for service delivery and inadequate funding to service delivering NGOs. Programme reports five month stockout of BCG vaccine at national level..  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2015	92	92	3	92	92	92	361335	391289	414042	414042	92	gov		R:	Estimate informed by reported data.  Programme reports one month stockout. Reported data are provisional.  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2016	91	91	2	91	91	91	353264	390209	416628	416628	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2017	93	93	2	93	93	93	355303	381396	411557	411557	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2018	88	88	2	88	88	88	337023	382841	403834	403834	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2019	86	86	2	86	86	86	329570	366448	391582	391582	86	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2020	86	86	2	86	86	86	313578	366448	378935	378935	86	gov		R:	Estimate informed by reported data.  Programme reports a two months stockout of AD syringes at the national level.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2021	84	84	2	84	84	84	285030	340876	372146	372146	84	gov		R:	Estimate informed by reported data.  Programme notes challenges with diversion of vaccinators to support delivery of Covid-19 vaccine. For some vaccines recommended during the first year of life, the reported doses administered appears to have declined more than the reported coverage from 2020 to 2021.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	bcg	2022	85		2	85	85	85	292233	344746	372335	372335	85	gov		R:	Estimate informed by reported data.  A vaccination coverage survey, conducted in 2022, was focused on the capital area only and thus not included here. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	1997	90	90	2						395916	395916	94	extrapolated		W: AP	Estimate of 90 percent assigned by working group. Legacy estimate.   GoC=S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	1998	94	94	2						400984	400984	94	extrapolated	92	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	1999	91	91	2						401118	401118	94	extrapolated		RMF	Estimate based on DTP3 coverage of 77.    GoC=S+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2000	94	94	3	94	94	94	355418	378760	406154	406154	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2001	93	93	1	92	93	93	332580	384254	411106	411106	93	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2002	93	93	3	93	93	93	342468	367510	409264	409264	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2003	96	96	1	96	96	96	339061	353043	406252	406252	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2004	98	98	1	98	98	98	336524	343071	404259	404259	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2005	97	97	3	105	105	105	358793	342021	400462	400462	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 105 percent greater than 100 percent.   GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2006	95	95	1	95	95	95	320933	337340	398396	398396	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2007	88	88	3	96	88	88	320170	332571	400490	400490	88	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2008	99	99	1	100	100	100	334095	333073	398030	398030	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2009	95	95	3	95	95	95	343226	361029	398938	398938	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2010	96	96	3	96	96	96	348317	361029	400830	400830	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2011	94	94	3	94	94	94	344674	377316	403938	403938	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2012	98	98	1	103	103	103	383688	373414	407582	407582	93	interpolated	99	RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2013	98	98	1	108	108	108	418883	387077	406634	406634	92	interpolated	98	RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2014	91	91	3	91	91	91	351556	385984	410334	410334	91	gov		R:	Estimate informed by reported data.  Declines in reported coverage during 2014 reflect incomplete reporting and disruptions in routine immunization service delivery resulting from human resource constraints for service delivery and inadequate funding to service delivering NGOs. Programme reports nine month stockout of DTP containing vaccine at national level..  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2015	99	99	3	99	99	99	387096	391289	414042	414042	99	gov		R:	Estimate informed by reported data.  Programme reports two months stockout. Reported data are provisional and suggest recovery from the stockout during 2014.  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2016	99	99	2	99	99	99	386537	390209	416628	416628	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2017	98	98	1	98	98	98	357497	381396	411557	411557	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2018	94	94	2	94	94	94	360700	382841	403834	403834	94	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2019	92	92	2	92	92	92	352378	366448	391582	391582	92	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2020	92	92	2	92	92	92	337861	366448	378935	378935	92	gov		R:	Estimate informed by reported data.  Programme reports a two months stockout of AD syringes at the national level.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2021	89	89	2	89	89	89	305018	340876	372146	372146	89	gov		R:	Estimate informed by reported data.  Programme notes challenges with diversion of vaccinators to support delivery of Covid-19 vaccine. For some vaccines recommended during the first year of life, the reported doses administered appears to have declined more than the reported coverage from 2020 to 2021.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp1	2022	92		2	92	92	92	315663	344746	372335	372335	92	gov		R:	Estimate informed by reported data.  A vaccination coverage survey, conducted in 2022, was focused on the capital area only and thus not included here. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	1997	73	73	1		83	83			395916	395916	83	gov		W: AP	Estimate of 73 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	1998	78	78	1		88	88			400984	400984	88	gov	78	W: AP	Estimate of 78 percent assigned by working group.  Estimate based on survey results adjusted for recall bias. Guatemala Maternal and Child Health Survey 1998-1999 card or history results of 70 percent modifed for recall bias to 78 percent based on 1st dose card or history coverage of 92 percent, 1st dose card only coverage of 66 percent and 3rd dose card only coverage of 56 percent.   Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	1999	77	77	1	86	88	88			401118	401118	88	gov		C:	Reported data calibrated to 1998 and 2001 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2000	81	81	1	95	95	95	358031	378760	406154	406154	95	gov		C:	Reported data calibrated to 1998 and 2001 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2001	77	77	1	92	92	92	353514	384254	411106	411106	92	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).     Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2002	82	82	1	95	95	95	346677	367510	409264	409264	95	gov		C:	Reported data calibrated to 2001 and 2007 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2003	84	84	1	94	94	94	332821	353043	406252	406252	94	gov		C:	Reported data calibrated to 2001 and 2007 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2004	87	87	1	92	95	95	324347	343071	404259	404259	95	gov		C:	Reported data calibrated to 2001 and 2007 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2005	87	87	1	92	92	92	316180	342021	400462	400462	92	gov		C:	Reported data calibrated to 2001 and 2007 levels.    Estimate challenged by: R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2006	89	89	1	91	91	91	307033	337340	398396	398396	91	gov		C:	Reported data calibrated to 2001 and 2007 levels.    Estimate challenged by: D-R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2007	85	85	3	93	85	85	309581	332571	400490	400490	85	gov	84	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 84 percent based on 1 survey(s).    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2008	95	95	1	96	95	95	318407	333073	398030	398030	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2009	92	92	3	92	92	92	331774	361029	398938	398938	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2010	94	94	3	94	94	94	339165	361029	400830	400830	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2011	88	88	3	88	88	88	320557	377316	403938	403938	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2012	96	96	3	96	96	96	357152	373414	407582	407582	96	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Guatema Demographic and Health Survey 2014-2015 card or history results of 93 percent modifed for recall bias to 95 percent based on 1st dose card or history coverage of 99 percent, 1st dose card only coverage of 89 percent and 3rd dose card only coverage of 85 percent.   GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2013	96	96	3	96	96	96	369680	387077	406634	406634	96	gov	86	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 86 percent based on 1 survey(s).  Guatema Demographic and Health Survey 2014-2015 card or history results of 85 percent modifed for recall bias to 86 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 90 percent and 3rd dose card only coverage of 79 percent. .  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2014	74	74	1	74	74	74	286570	385984	410334	410334	74	gov		R:	Estimate informed by reported data.  Declines in reported coverage during 2014 reflect incomplete reporting and disruptions in routine immunization service delivery resulting from human resource constraints for service delivery and inadequate funding to service delivering NGOs. Programme reports nine month stockout of DTP containing vaccine at national level..  Estimate challenged by: S-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2015	70	70	1	70	70	70	272491	391289	414042	414042	70	gov		R:	Estimate informed by reported data.  Programme reports two months stockout. Reported data are provisional.  Estimate challenged by: S-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2016	83	83	2	83	83	83	324309	390209	416628	416628	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2017	91	91	2	91	91	91	347541	381396	411557	411557	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2018	85	85	2	85	85	85	327064	382841	403834	403834	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2019	85	85	2	85	85	85	324030	366448	391582	391582	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2020	83	83	2	83	83	83	305488	366448	378935	378935	83	gov		R:	Estimate informed by reported data.  Programme reports a two months stockout of AD syringes at the national level.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2021	79	79	2	79	79	79	268726	340876	372146	372146	79	gov		R:	Estimate informed by reported data.  Programme notes challenges with diversion of vaccinators to support delivery of Covid-19 vaccine. For some vaccines recommended during the first year of life, the reported doses administered appears to have declined more than the reported coverage from 2020 to 2021.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	dtp3	2022	79		2	79	79	79	273111	344746	372335	372335	79	gov		R:	Estimate informed by reported data.  A vaccination coverage survey, conducted in 2022, was focused on the capital area only and thus not included here. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2005	87	87	1	92	94	94	132313	342021	400462	400462	94	gov		W: AP	Estimate of 87 percent assigned by working group.  Estimate adjusted to level of DTP3 estimate.  HepB vaccine introduced in 2005. Vaccine presentation is DTP-HepB-Hib.  Estimate challenged by: D-R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2006	89	89	1	91	91	91	307033	337340	398396	398396	91	gov		W: AP	Estimate of 89 percent assigned by working group.  Estimate adjusted to level of DTP3 estimate.   Estimate challenged by: D-R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2007	85	85	2	93	85	85	309581	332571	400490	400490	85	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2008	95	95	1	96	95	95	318407	333073	398030	398030	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2009	92	92	2	92	92	92	331774	361029	398938	398938	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2010	94	94	3	94	94	94	339165	361029	400830	400830	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2011	88	88	3	88	88	88	320557	377316	403938	403938	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2012	96	96	3	96	96	96	357152	373414	407582	407582	96	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).  Guatema Demographic and Health Survey 2014-2015 card or history results of 93 percent modifed for recall bias to 95 percent based on 1st dose card or history coverage of 99 percent, 1st dose card only coverage of 89 percent and 3rd dose card only coverage of 85 percent.   GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2013	96	96	3	96	96	96	369680	387077	406634	406634	96	gov	86	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 86 percent based on 1 survey(s).  Guatema Demographic and Health Survey 2014-2015 card or history results of 85 percent modifed for recall bias to 86 percent based on 1st dose card or history coverage of 98 percent, 1st dose card only coverage of 90 percent and 3rd dose card only coverage of 79 percent.  Programme reports a five months stockout at national level.  GoC=R+ S+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2014	74	74	1	74	74	74	286570	385984	410334	410334	74	gov		R:	Estimate informed by reported data.  Declines in reported coverage during 2014 reflect incomplete reporting and disruptions in routine immunization service delivery resulting from human resource constraints for service delivery and inadequate funding to service delivering NGOs. Programme reports nine month stockout of DTP containing vaccine at national level..  Estimate challenged by: S-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2015	70	70	1	70	70	70	272491	391289	414042	414042	70	gov		R:	Estimate informed by reported data.  Programme reports two months stockout. Reported data are provisional.  Estimate challenged by: S-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2016	83	83	2	83	83	83	324309	390209	416628	416628	83	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2017	91	91	2	91	91	91	347541	381396	411557	411557	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2018	85	85	2	85	85	85	327064	382841	403834	403834	85	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2019	85	85	2	85	85	85			391582	391582	85	gov		R:	Estimate informed by reported data.   GoC=R+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2020	83	83	2	83	83	83	305488	366448	378935	378935	83	gov		R:	Estimate informed by reported data.  Programme reports a two months stockout of AD syringes at the national level.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2021	79	79	2	79	79	79	268726	340876	372146	372146	79	gov		R:	Estimate informed by reported data.  Programme notes challenges with diversion of vaccinators to support delivery of Covid-19 vaccine. For some vaccines recommended during the first year of life, the reported doses administered appears to have declined more than the reported coverage from 2020 to 2021.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepb3	2022	79		2	79	79	79	273111	344746	372335	372335	79	gov		R:	Estimate informed by reported data.  A vaccination coverage survey, conducted in 2022, was focused on the capital area only and thus not included here. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2010	15	15	2	15	15	15	52891	361029	400830	400830	15	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2011	31	31	2	31	31	31	116040	377316	403938	403938	31	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2012	35	35	2	35	35	35	130298	373414	407582	407582	35	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2013	39	39	2	39	39	39	152389	387077	406634	406634	39	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2014	21	21	2	21	21	21	82865	385984	410334	410334	21	gov		R:	Estimate informed by reported data.   Declines in reported coverage during 2014 reflect incomplete reporting and disruptions in routine immunization service delivery resulting from human resource constraints for service delivery and inadequate funding to service delivering NGOs..  GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2015	32	32	2	32	32	32	126355	391289	414042	414042	32	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2016	40	40	2	40	40	40	155089	390209	416628	416628	40	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2017	53	53	2	53	53	53	201971	381396	411557	411557	53	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2018	48	48	2	48	48	48	185407	382841	403834	403834	48	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2019	48	48	1						391582	391582	48	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2020	48	48	1						378935	378935	48	extrapolated		R:	Estimate informed by extrapolation from reported data.   Programme reports a two months stockout of AD syringes at the national level. Programme reports a one month vaccine stockout at national level.  GoC=No accepted empirical data	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2021	48	48	1						372146	372146	48	extrapolated		R:	Estimate informed by extrapolation from reported data.   Programme notes challenges with diversion of vaccinators to support delivery of Covid-19 vaccine. For some vaccines recommended during the first year of life, the reported doses administered appears to have declined more than the reported coverage from 2020 to 2021. Programme reports one month vaccine stockout at national level.  GoC=No accepted empirical data	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hepbb	2022	48		1						372335	372335	48	extrapolated		R:	Estimate informed by extrapolation from reported data.   A vaccination coverage survey, conducted in 2022, was focused on the capital area only and thus not included here. No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Programme reports one month vaccine stockout at national level.  GoC=No accepted empirical data	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hib3	2005	87	87	1	92	94	94	132313	342021	400462	400462	94	gov		W: AP	Estimate of 87 percent assigned by working group.  Estimate adjusted to level of DTP3 estimate.  Hib vaccine introduced in 2005 Vaccine presentation is DTP-HepB-Hib.  Estimate challenged by: D-R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hib3	2006	89	89	1	95	91	91	307033	337340	398396	398396	91	gov		W: AP	Estimate of 89 percent assigned by working group.  Estimate adjusted to level of DTP3 estimate.   Estimate challenged by: D-R-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hib3	2007	85	85	2	93	85	85	309581	332571	400490	400490	85	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hib3	2008	95	95	1	96	95	95	318407	333073	398030	398030	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guatemala	Wed Sep 06 18:48:59 2023	gtm	hib3	2009	92	92	2	92	92	92	331774	361029	398938	398938	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
