Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	1997	94	94	2		94	94			20825	20825	94	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	1998	92	92	2		92	92			20526	20526	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	1999	91	91	2	83	91	91			20151	20151	91	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2000	93	93	3	93	93	93	16574	17872	19729	19729	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2001	95	95	3	95	95	95	17003	17961	19269	19269	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2002	91	91	2		91	91			18793	18793	91	gov		R:	Estimate informed by reported data.    GoC=R+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2003	95	95	3		95	95	15847	16731	18324	18324	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2004	94	94	3	94	94	94	15200	16238	17960	17960	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2005	96	96	1	96	96	96	14580	15257	17616	17616	96	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2006	96	96	1	96	96	96	13877	14414	17294	17294	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2007	97	97	1	97	97	97	14067	14518	17017	17017	97	gov		R:	Estimate informed by reported data.  Guyana Demographic and Health Survey 2009 results ignored by working group.  Survey data internally inconsistent. Levels of measles, yellow fever and polio coverage are significantly lower than DTP and BCG.  Estimate challenged by: D-	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2008	96	96	2	96	96	96	14507	15088	16766	16766	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2009	98	98	1	98	98	98	14331	14627	16554	16554	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2010	98	98	1	98	98	98	13879	14215	16389	16389	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Guyana	Wed Sep 06 18:49:09 2023	guy	bcg	2011	97	97	1	97	97	97	13684	14043	16248	16248	97	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
