Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	1997	99	99	2	99	99	99			217000	217000	99	gov		R: AP	Legacy estimate.   GoC=R+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	1998	96	96	2	96	96	96			221199	221199	96	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	1999	93	93	2	93	93	93			224124	224124	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2000	99	99	1	99	99	99	187912	189811	225476	225476	99	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2001	99	99	1	99	99	99	177656	190954	225725	225725	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2002	94	94	1	94	94	94	181415	192361	225144	225144	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2003	91	91	1	91	91	91	177482	194216	224103	224103	91	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2004	98	98	2	98	98	98		182492	222990	222990	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2005	98	98	1	98	98	98	178776	197159	221828	221828	98	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2006	97	97	1	97	97	97	177165	197208	220644	220644	97	gov		C:	Reported data calibrated to 2005 and 2011 levels.    Estimate challenged by: D-R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2007	99	99	1	100	100	100	180624	198222	219089	219089	100	gov		C:	Reported data calibrated to 2005 and 2011 levels.    Estimate challenged by: D-R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2008	99	99	1	101	101	101	182547	180677	217761	217761	100	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2009	99	99	1	100	100	100	187972	179571	216190	216190	100	gov		C:	Reported data calibrated to 2005 and 2011 levels.    Estimate challenged by: D-R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2010	99	99	1	109	109	109	194086	178197	214642	214642	99	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2011	99	99	1	112	112	112	198485	177733	213180	213180	98	interpolated	99	W: AP	Estimate of 99 percent assigned by working group.  Estimate is based on survey result. Reported data excluded because 112 percent greater than 100 percent.   Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2012	98	98	1	89	89	89	195725	220060	212054	212054	97	interpolated		C:	Reported data calibrated to 2011 and 2017 levels.  Reported data excluded.  Reported coverage levels and underlying target populations are inconsistent over the period 2012-2016. WHO and UNICEF encourage a revision of the reported coverage time series using a consistent target population for at least the prior ten years. Apparent decline in coverage perhaps due to an increase in target population by 24 percentage between 2011 and 2012. Number of children vaccinated in 2012 decreased in part to insecurity limiting outreach activities (GAVI Report, 2013).  Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2013	97	97	1	87	87	87	192191	220983	211261	211261	96	interpolated		C:	Reported data calibrated to 2011 and 2017 levels.  Reported data excluded.  Reported coverage levels and underlying target populations are inconsistent over the period 2012-2016. WHO and UNICEF encourage a revision of the reported coverage time series using a consistent target population for at least the prior ten years.  Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2014	96	96	1	86	86	86	191727	221718	211139	211139	95	interpolated		C:	Reported data calibrated to 2011 and 2017 levels.  Reported data excluded.  Reported coverage levels and underlying target populations are inconsistent over the period 2012-2016. WHO and UNICEF encourage a revision of the reported coverage time series using a consistent target population for at least the prior ten years.  Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2015	94	94	1	102	102	102	196031	192010	211541	211541	94	interpolated		C:	Reported data calibrated to 2011 and 2017 levels.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2016	93	93	1	103	103	103	199403	192849	212388	212388	93	interpolated		C:	Reported data calibrated to 2011 and 2017 levels.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2017	92	92	3	92	92	92	179328	194478	213413	213413	92	gov	94	R: AP	 Since 2017 reported numerator and denominator follow a consistent trend.  Programme reported district-level vaccine stockouts.  GoC=R+ S+ D+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2018	93	93	3	93	93	93	182654	195809	214499	214499	93	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2019	87	87	3	87	87	87	171696	196842	215469	215469	87	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2020	83	83	1	83	83	83	163511	197576	216208	216208	83	gov		R:	Estimate informed by reported data.   Estimate challenged by: S-	
Honduras	Wed Sep 06 18:49:19 2023	hnd	bcg	2021	82	82	2	82	82	82	162250	198670	216645	216645	82	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
