Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	1997	98	98	2		98	98			57510	57510	98	gov		R: AP	Legacy estimate.   GoC=R+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	1998	97	97	2		97	97			49338	49338	97	gov		R:	Estimate informed by reported data.   GoC=R+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	1999	96	96	2	96	96	96	42917	44975	46840	46840	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2000	98	98	2	98	98	98	43252	44051	45393	45393	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2001	97	97	2	97	97	97	40319	41455	44567	44567	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2002	99	99	1	99	99	99	37641	38066	43316	43316	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2003	98	98	1	98	98	98	35622	36238	42607	42607	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2004	98	98	2	98	98	98	41642	42568	42998	42998	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2005	98	98	1	98	98	98	35072	35679	44700	44700	98	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2006	99	99	2	99		99	41405	41783	43551	43551	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2007	99	99	2	99		99	41869	42268	43830	43830	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2008	99	99	2	99		99	44663	45076	45414	45414	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2009	99	99	2	99		99			45999	45999	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2010	99	99	2	98	99	99	44038	44608	44589	44589	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2011	99	99	2	99	99	99	43132	43647	42436	42436	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2012	99	99	2	99	99	99	43677	43989	42523	42523	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2013	99	99	2	99	99	99	42718	43190	40653	40653	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2014	98	98	2	98	98	98	39429	40201	39853	39853	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2015	98	98	2	98	98	98	37421	37999	37817	37817	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2016	99	99	2	99	99	99	37788	38279	37675	37675	99	gov		R:	Estimate informed by reported data.  Programme reports two months vaccine stockout at national level.  GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2017	98	98	2	98	98	98	37170	37820	37027	37027	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2018	98	98	2	98	98	98	37424	38232	37421	37421	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2019	98	98	2	98		98	36382	37169	36700	36700	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2020	98	98	2	98	98	98	34209	34965	35757	35757	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2021	97	97	2	97	97	97	35516	36657	34733	34733	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	bcg	2022	97		2	97	97	97	33310	34300	33924	33924	97	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
Croatia	Wed Sep 06 18:49:55 2023	hrv	dtp1	1997	97	97	1						57510	57510	94	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
