Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	1997	72	72	1		40	40			262889	262889	40	gov		W: AP	Estimate of 72 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	1998	72	72	1		52	52			262929	262929	42	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	1999	71	71	1	59	57	57			263856	263856	43	interpolated	71	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 71 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2000	72	72	1	57	57	57	158781	278563	266613	266613	45	interpolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2001	72	72	1	49		49	136582	278729	264216	264216	46	interpolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2002	73	73	1	45	45	45	128688	285928	263133	263133	48	interpolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2003	74	74	1		56	56	159770	296681	263901	263901	50	interpolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to an increase from 45 percent to 56 percent with decrease 43 percent.   Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2004	74	74	1	31	43	43	107785	243398	264451	264451	51	interpolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to decline in reported coverage from 56 percent to 43 percent with increase to 62 percent.   Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2005	75	75	1	62	62	62	153776	248210	264799	264799	53	interpolated	75	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 75 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2006	75	75	1	59	59	59	151737	255291	265526	265526	54	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2007	78	78	1	70	70	70	183004	262614	265822	265822	56	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2008	78	78	1	62	62	62	165597	270188	266887	266887	57	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2009	80	80	1	66	66	66	173635	262970	269122	269122	59	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2010	82	82	1	63	63	63	179360	282386	271333	271333	61	interpolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2011	83	83	1	82	82	82	234848	287330	271205	271205	62	interpolated	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2012	82	82	1	69	74	74	202344	292761	269226	269226	64	interpolated		C:	Reported data calibrated to 2011 and 2014 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. The Ministry of Health, Haiti does not agree with the WHO and UNICEF coverage estimates. Vaccine stockout for 5 months in all districts.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2013	82	82	1	75	75	75	223104	297815	268106	268106	65	interpolated		C:	Reported data calibrated to 2011 and 2014 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting. The Ministry of Health, Haiti does not agree with the WHO and UNICEF coverage estimates. Programme reports six months stockout of AD syringes at national level.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2014	81	81	1	67	67	67	209963	315489	268767	268767	67	gov	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).    Programme reports a two months stockout of BCG syringes at national level.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2015	83	83	1	72	72	72	229860	320443	269909	269909	72	gov	83	W: AP	Estimate of 83 percent assigned by working group.  Estimate based on survey results. Programme reports vaccine stockout at national level.   Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2016	83	83	1	63	63	63	199030	314734	271005	271005	63	gov		W: AP	Estimate of 83 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2017	83	83	1	67	67	67	210845	316024	271823	271823	67	gov		W-I:	Estimate informed by interpolation between 2016 and 2018 levels.  Estimate informed by 2015 survey results.   Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2018	83	83	1	76	76	76	243225	319523	271104	271104	76	gov		W: AP	Estimate of 83 percent assigned by working group.  Estimate based on survey results from 2015.   Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2019	73	73	1	66	66	66	212465	324178	271669	271669	66	gov		C:	Reported data calibrated to 2018 levels.  Country reports a disruption of health service delivery due to socio-political disturbances. WHO and UNICEF recommend continued focus on improved recording and monitoring of immunization service delivery and periodic independent coverage assessment in addition to improving coverage of immunization services. Programme reports a stockout of disposable syringes.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2020	73	73	1	86	86	86	226598	264258	271045	271045	66	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Increase in reported coverage between 2019 and 2020 for some antigens reflects an decrease in the reported target population. Programme reports a 12 month stockout of reconstitution syringes. Programme reports a one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2021	73	73	1	76	76	76	204251	267468	269377	269377	66	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Due to a confluence of multiple factors impacting programme performance (number and quality of trained staff, monitoring sessions, and data quality) related to the COVID-19 pandemic, persistent instability as well as revisions to reported target population in 2020 (a decrease of 14 percent). Programme reports two months stockout of reconstitution syringes. Programme reports one month vaccine stockout at national level.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	bcg	2022	73		1	77	77	77	208287	270758	268523	268523	66	extrapolated		C:	Reported data calibrated to 2018 levels. Reported data excluded.  Concerns remain with regards to reported data. See comments for 2021. Estimated coverage levels for the past three years do not reflect patterns in reported number of doses administered for some antigens. As, such estimated coverage levels may overestimate actual coverage. No nationally representative vaccination coverage survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage as the country situation permits.  Estimate challenged by: R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	1997	66	66	2						262889	262889	71	extrapolated		W: AP	Estimate of 66 percent assigned by working group. Legacy estimate.   GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	1998	69	69	2						262929	262929	71	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	1999	71	71	2						263856	263856	71	extrapolated	76	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 76 percent based on 1 survey(s).    GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2000	73	73	2						266613	266613	71	extrapolated		C:	Reported data calibrated to 1999 and 2005 levels.    GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2001	75	75	2						264216	264216	71	extrapolated		C:	Reported data calibrated to 1999 and 2005 levels.    GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2002	77	77	1						263133	263133	71	extrapolated		C:	Reported data calibrated to 1999 and 2005 levels.    GoC=No accepted empirical data	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2003	79	79	2					296681	263901	263901	71	extrapolated		C:	Reported data calibrated to 1999 and 2005 levels.    GoC=S+	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2004	81	81	1		47	47	114665	243398	264451	264451	71	extrapolated		C:	Reported data calibrated to 1999 and 2005 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2005	83	83	1	57		57	129697	228278	264799	264799	71	extrapolated	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 1 survey(s).   Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2006	84	84	1		90	90	159046	177464	265526	265526	71	extrapolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.Reported data excluded due to an increase from 57 percent to 90 percent with decrease 77 percent.   Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2007	85	85	1	77	77	77	190233	247645	265822	265822	71	extrapolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
Haiti	Wed Sep 06 18:50:03 2023	hti	dtp1	2008	86	86	1	77	77	77	171657	289749	266887	266887	71	extrapolated		C:	Reported data calibrated to 2005 and 2011 levels.  Reported data excluded.  Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: D-R-	
