Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	1997	99	99	1	100		100			100240	100240	100	admin		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	1998	99	99	1	100		100			97190	97190	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	1999	99	99	1	100		100			94854	94854	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2000	99	99	1	100		100	91693	91706	97223	97223	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2001	99	99	1	100		100	93730	93745	96849	96849	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2002	99	99	1	100		100	94094	94121	96673	96673	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2003	99	99	1	100		100	93690	93710	94677	94677	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2004	99	99	1	100		100	91410	91431	95533	95533	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2005	99	99	1	100		100			97298	97298	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2006	99	99	1	100		100			99404	99404	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2007	99	99	1	100		100	97434	97473	97797	97797	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2008	99	99	2	100		100	94910	94960	98573	98573	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2009	99	99	2	100		100	96393	96447	96009	96009	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2010	99	99	2	100		100	93620	93692	90495	90495	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2011	99	99	2	100		100	87722	87802	88502	88502	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2012	99	99	2	100		100	85305	85373	89880	89880	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2013	99	99	2	100		100	87463	87612	89772	89772	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2014	99	99	2	100		100	85895	86014	92829	92829	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2015	99	99	2	100		100	89237	89353	92141	92141	100	admin		C:	Reported data calibrated to 1997 levels.  Programme reports a two months national level stockout.  GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2016	99	99	2	100		100	89392	89604	95053	95053	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2017	99	99	2	100		100	90982	91188	94208	94208	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2018	99	99	2	100		100	89599	89799	93111	93111	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2019	99	99	2	100		100	88080	88280	92375	92375	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2020	99	99	1	100		100	87694	87891	92544	92544	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2021	99	99	1	100	100	100	91076	91279	91895	91895	100	gov		C:	Reported data calibrated to 1997 levels.  Reported target population of surviving infants increased four percent between 2020 and 2021, whereas it had been decreasing over the last few years.  Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	bcg	2022	99		1	100	100	100	91733	91947	91371	91371	100	gov		C:	Reported data calibrated to 1997 levels.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	1997	99	99	1	100		100			100240	100240	100	admin		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	1998	99	99	1	100		100			97190	97190	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	1999	99	99	1						94854	94854	100	interpolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2000	99	99	1	99		99	91025	91666	97223	97223	99	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2001	99	99	1	100		100	93678	93706	96849	96849	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2002	99	99	1	100		100	94080	94121	96673	96673	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2003	99	99	1	100		100	93675	93710	94677	94677	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2004	99	99	1	100		100	91392	91431	95533	95533	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2005	99	99	1	100		100			97298	97298	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2006	99	99	1	100		100			99404	99404	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2007	99	99	1	100		100	97441	97473	97797	97797	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2008	99	99	2	100		100	94933	94960	98573	98573	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2009	99	99	2	100		100	96417	96447	96009	96009	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2010	99	99	2	100		100	93660	93692	90495	90495	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2011	99	99	2	100		100	87758	87802	88502	88502	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2012	99	99	2	100		100	85335	85373	89880	89880	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2013	99	99	2	100		100	87538	87612	89772	89772	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2014	99	99	2	100		100	85969	86014	92829	92829	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2015	99	99	2	100		100	89321	89353	92141	92141	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2016	99	99	2	100		100	89563	89604	95053	95053	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2017	99	99	2	100		100	91142	91188	94208	94208	100	admin		C:	Reported data calibrated to 1997 levels.  Programme reports half month stockout.  GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2018	99	99	2	100		100	89761	89799	93111	93111	100	admin		C:	Reported data calibrated to 1997 levels.  Programme reports one half month vaccine stockout at the national level.  GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2019	99	99	2	100		100	88250	88280	92375	92375	100	admin		C:	Reported data calibrated to 1997 levels.   GoC=Assigned by working group.  Consistency across antigens.	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2020	99	99	1	100		100	87856	87891	92544	92544	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2021	99	99	1	100		100	91248	91279	91895	91895	100	admin		C:	Reported data calibrated to 1997 levels.  Reported target population of surviving infants increased four percent between 2020 and 2021, whereas it had been decreasing over the last few years.  Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp1	2022	99		1	100	100	100	91914	91947	91371	91371	100	gov		C:	Reported data calibrated to 1997 levels.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp3	1997	99	99	1	100		100			100240	100240	100	admin		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Hungary	Wed Sep 06 18:50:14 2023	hun	dtp3	1998	99	99	1	100		100			97190	97190	100	admin		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
