Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	1997	85	85	1	99		99			4830773	4830773	99	admin		W: AP	Estimate of 85 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	1998	84	84	1	98		98			4778351	4778351	98	admin		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	1999	83	83	1	98	97	97	4596	469000	4716855	4716855	97	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2000	81	81	1	101	87	87	3124397	4520318	4714621	4714621	87	gov		W-I:	Estimate informed by interpolation between 1997 and 2001 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2001	80	80	3	97	80	80	3776471	4741915	4714255	4714255	80	gov	82	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 82 percent based on 1 survey(s).    GoC=R+ S+ D+	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2002	82	82	1	97	77	77	4535623	4694905	4661603	4661603	77	gov		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2003	83	83	1	98	97	97	4616946	4723611	4657532	4657532	84	interpolated		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to an increase from 77 percent to 97 percent with decrease 78 percent.   Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2004	85	85	1	98	78	78	4615504	4717653	4678356	4678356	90	interpolated		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to decline in reported coverage from 97 percent to 78 percent with increase to 97 percent.   Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2005	86	86	1	88	97	97	4254515	4813572	4745818	4745818	97	gov		W-I:	Estimate informed by interpolation between 2001 and 2006 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2006	88	88	1	95	93	93	4507756	4751636	4819324	4819324	93	gov	88	W: AP	Estimate of 88 percent assigned by working group.  Estimate is based on the averaged results of 3 surveys conducted in this year.   Estimate challenged by: R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2007	83	83	1	94	92	92	4588312	4875006	4923101	4923101	92	gov		C:	Reported data calibrated to 2006 and 2009 levels.    Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2008	80	80	1	93	89	93	4541571	4861569	4927000	4927000	93	admin		C:	Reported data calibrated to 2006 and 2009 levels.   Calibration applied to administrative coverage levels.  Estimate challenged by: D-R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2009	78	78	1	95	93	95	4604038	4846313	4912941	4912941	95	admin	78	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 78 percent based on 1 survey(s).    Calibration applied to administrative coverage levels.  Estimate challenged by: D-R-S-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2010	88	88	1	97	97	97	4657901	4807543	4919751	4919751	97	admin		C:	Reported data calibrated to 2009 and 2011 levels.   Calibration applied to administrative coverage levels.  Estimate challenged by: R-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2011	98	98	1	98	97	98	4669521	4762578	5028613	5028613	98	admin	89	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 89 percent based on 1 survey(s).   Calibration applied to administrative coverage levels.  Estimate challenged by: S-	
Indonesia	Wed Sep 06 18:50:21 2023	idn	bcg	2012	88	88	1	100	89	100	4649489	4669125	5028089	5028089	100	admin	88	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 88 percent based on 1 survey(s).    Calibration applied to administrative coverage levels.  Estimate challenged by: R-	
