Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
India	Wed Sep 06 18:50:50 2023	ind	bcg	1997	72	72	1	99	100	100	25282525	25486900	28340882	28340882	100	gov	72	W: AP	Estimate of 72 percent assigned by working group. Legacy estimate.   Estimate challenged by: D-R-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	1998	73	73	1	97	91	91	24419255	25053000	28380714	28380714	87	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.  Reported data excluded.  Reported data not supported by surveys. The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-R-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	1999	74	74	1	101	74	74	25052593	24722190	28365313	28365313	74	gov		R: AP	 Estimate is based on reported data. Survey results ignored. Sample size 0 less than 300.  The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2000	74	74	1	108	74	74	26273135	24351950	28614635	28614635	74	gov		R:	Estimate informed by reported data.   The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2001	75	75	1	106	75	75	25989797	24431200	28842611	28842611	75	gov		R:	Estimate informed by reported data.   The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2002	75	75	1	103	75	75	25867789	25195300	28647659	28647659	75	gov	75	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 75 percent based on 1 survey(s).   The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2003	77	77	1	100	77	77	25746343	25686200	28355763	28355763	77	gov		R:	Estimate informed by reported data.   The reporting cycle for the Government of India is from April 1 through March 31. As such, administrative coverage for the entirety of 2014 will be available during 2016.  Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2004	80	80	1	100	80	80	25634526	25656600	28098682	28098682	80	gov	83	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 83 percent based on 1 survey(s).    Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2005	86	86	1	104	86	86	26713581	25793700	27645749	27645749	86	gov	78	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 78 percent based on 1 survey(s).    Estimate challenged by: D-	
India	Wed Sep 06 18:50:50 2023	ind	bcg	2006	86	86	1	102	86	86	26641696	26032817	27228667	27228667	86	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    Estimate challenged by: D-	
