Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	1997	89	89	1						51868	51868	90	extrapolated		W: AP	Estimate of 89 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	1998	89	89	1						53011	53011	90	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	1999	89	89	1		90	90			53007	53007	90	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2000	89	89	1						53905	53905	90	interpolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2001	89	89	1						56505	56505	90	interpolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2002	90	90	1						59350	59350	91	interpolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2003	90	90	1						60554	60554	91	interpolated		C:	Reported data calibrated to 1997 levels.  Reported coverage reflects performance in reporting areas. WHO and UNICEF estimate reflects coverage for the national target population.  GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2004	30	30	1	91	91	91	18038	19925	60793	60793	91	gov		W:	 Coverage of 91 percent reached in 33 percent of the population. BCG has been administered subnationally since 2004; currently available information indicates national recommendation prior to 2004.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2005	31	31	1	93	93	93	19097	20592	60341	60341	93	gov		W:	 Ninety-three percent coverage reached in 34 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2006	31	31	1	93	93	93	19428	20918	63875	63875	93	gov		W:	 Ninety-three percent coverage reached in 33 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2007	33	33	1	93	93	93	20881	22447	69775	69775	93	gov		W:	 Ninety-three percent coverage reached in 36 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2008	34	34	1	94	94	94	22763	24324	74341	74341	94	gov		W:	 Ninety-four percent coverage achieved in 36 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2009	30	30	1	95	95	95	19540	20483	75693	75693	95	gov		W:	 Ninety-five percent coverage achieved in 32 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2010	30	30	1	96	95	95	18554	19405	75316	75316	95	gov		W:	 Ninety-six percent coverage achieved in 31 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2011	41	41	1	85	85	85	31185	36598	73817	73817	85	gov		W:	 Ninety-five percent coverage achieved in 48 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2012	42	42	1	80	80	80	31256	39007	71600	71600	80	gov		W:	 Eighty percent coverage reached in 52 percent of the population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2013	76	76	1	86	86	86	56030	64796	69002	69002	86	gov		W:	 Eighty-six percent coverage achieved in 88 percent of the national target population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2014	74	74	1	86	87	87	53576	61828	67041	67041	87	gov		W:	 Eighty-six percent coverage achieved in 86 percent of the national target population.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2015	77	77	1	87	86	86	52772	61032	65037	65037	86	gov		W:	 Eighty-seven percent coverage achieved in 88 percent of the national target population. Estimate based on coverage achieved in the total national annual birth cohort.   Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	bcg	2016	18	18	1	20	20	20	11854	59330	63114	63114	20	gov		W:	 Programme reports 20 percent coverage achieved in 88 percent of the national target population. Estimate is based on coverage achieved in the total national target population.  In 2015, the national immunization advisory committee and the health information and quality authority recommended that BCG vaccine does not need to be given to all children in Ireland. Programme reports a 12 month national level vaccine stockout.  Estimate challenged by: R-	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	1997	90	90	1						51868	51868				RMF	Estimate based on DTP3 coverage of 76.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	1998	94	94	1						53011	53011				RMF	Estimate based on DTP3 coverage of 84.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	1999	95	95	1						53007	53007				RMF	Estimate based on DTP3 coverage of 86.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2000	95	95	1						53905	53905				RMF	Estimate based on DTP3 coverage of 86.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2001	94	94	1						56505	56505				RMF	Estimate based on DTP3 coverage of 84.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2002	94	94	1						59350	59350				RMF	Estimate based on DTP3 coverage of 83.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2003	95	95	1						60554	60554				RMF	Estimate based on DTP3 coverage of 86.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2004	96	96	1						60793	60793				RMF	Estimate based on DTP3 coverage of 89.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2005	96	96	1						60341	60341				RMF	Estimate based on DTP3 coverage of 90.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2006	97	97	1						63875	63875				RMF	Estimate based on DTP3 coverage of 91.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2007	97	97	1						69775	69775				RMF	Estimate based on DTP3 coverage of 92.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2008	97	97	1						74341	74341				RMF	Estimate based on DTP3 coverage of 93.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2009	98	98	1						75693	75693				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2010	98	98	1						75316	75316				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2011	98	98	1						73817	73817				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2012	98	98	1						71600	71600				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2013	98	98	1						69002	69002				RMF	Estimate based on DTP3 coverage of 96.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2014	98	98	1						67041	67041				RMF	Estimate based on DTP3 coverage of 96.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2015	98	98	1						65037	65037				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2016	98	98	1						63114	63114				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2017	98	98	1						61312	61312				RMF	Estimate based on DTP3 coverage of 95.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2018	98	98	1						61865	61865				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
Ireland	Wed Sep 06 18:51:04 2023	irl	dtp1	2019	98	98	1						60463	60463				RMF	Estimate based on DTP3 coverage of 94.    GoC=No accepted empirical data	
