Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	1997	91	91	2		91	91			1081225	1081225	91	gov		R: AP	Legacy estimate.   GoC=R+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	1998	99	99	2		99	99			1063733	1063733	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	1999	99	99	2	99	99	99	1147414	1157608	1065418	1065418	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2000	99	99	2	99	99	99	1108665	1121454	1071058	1071058	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2001	91	91	1	91	91	91	1101524	1226666	1082051	1082051	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2002	97	97	1	97	97	97	1164130	1197000	1086464	1086464	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2003	99	99	2	104	100	100	1166068	1118759	1081473	1081473	100	gov		R:	Estimate informed by reported data.  In March 2005, Iran conducted 41 province specific coverage surveys (n=22 200), 97.8 percent cards seen, age group 15-26 months. Coverage for all infant vaccines greater than 99 percent) which supports reported data.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2004	99	99	2	103	100	100	1165448	1126866	1106849	1106849	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2005	99	99	1	99	99	99	1345960	1353325	1134380	1134380	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2006	99	99	1	99	99	99	1279515	1163009	1173397	1173397	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2007	99	99	2	99	99	99	1203951	1213756	1221115	1221115	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2008	99	99	2	99	99	99	1196266	1208350	1265271	1265271	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2009	99	99	2	99	99	99	1239215	1251732	1303595	1303595	99	gov		R:	Estimate informed by reported data.  A 2010 Multiple Indicator Demographic and Health Survey results support reported high levels of coverage.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2010	99	99	2	99	99	99	1252654	1260917	1337387	1337387	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2011	99	99	2	99	99	99	1360884	1363542	1388386	1388386	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2012	99	99	2	100	100	100	1405466	1407684	1463853	1463853	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2013	99	99	2	100	100	100	1483838	1476287	1525843	1525843	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2014	99	99	2	100	100	100	1506805	1514264	1579114	1579114	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2015	99	99	2	99	100	100	1534803	1551618	1582915	1582915	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2016	99	99	2	100	100	100	1541561	1542038	1583969	1583969	100	gov		R:	Estimate informed by reported data.  Survey results for the 2016 birth cohort support high levels of reported vaccination coverage.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2017	99	99	2	100	99	99	1532613	1535967	1572333	1572333	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2018	99	99	2	100	100	100	1466992	1468423	1474889	1474889	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2019	99	99	2	98	100	100	1310656	1336496	1307977	1307977	100	gov		R:	Estimate informed by reported data.  Programme notes concerns around the completeness of numerator data during the transition from a paper to electronic registry system. WHO and UNICEF also take note of declines in the reported target population estimates of 5 percent between 2017 and 2018 and of 10 percent between 2018 and 2019. Several sub-national surveys and a 2019 national survey have been completed in Iran. Survey report only includes data for children with documented evidence of vaccination.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2020	98	98	2	98	98	98	1171054	1196135	1243003	1243003	98	gov		R:	Estimate informed by reported data.  Programme notes concerns around the completeness of numerator data during the transition from a paper to electronic registry system and issues with connectivity in certain areas. WHO and UNICEF also take note of declines in the reported target population estimates of 11 percent between 2019 and 2020.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2021	99	99	2	99	99	99	1089316	1101709	1204105	1204105	99	gov		R:	Estimate informed by reported data.  Declines in reported number of doses administered since 2017 are largely not reflected in reported coverage levels due in part to declines in the reported target population.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	bcg	2022	99		2	97	99	99	1047047	1075365	1172709	1172709	99	gov		R:	Estimate informed by reported data.  The National Center of Statistics conducts a national census every 5 years. Declines in reported number of doses administered since 2017 are largely not reflected in reported coverage levels due in part to declines in the reported target population. Country notes a dramatic decline in annual births. From 2017 to 2022 the reported target population has decreased 30 percent.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	1997	99	99	1						1081225	1081225	100	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	1998	99	99	1						1063733	1063733	100	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	1999	99	99	1						1065418	1065418	100	extrapolated		C:	Reported data calibrated to 1997 and 2001 levels.    GoC=No accepted empirical data	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2000	99	99	1	100	100	100	1115218	1090909	1071058	1071058	100	gov		C:	Reported data calibrated to 1997 and 2001 levels.    Estimate challenged by: R-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2001	96	96	2	96	96	96	1116366	1192319	1082051	1082051	96	gov		R: AP	 Estimate based on reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2002	99	99	2	99	99	99	1153416	1162766	1086464	1086464	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2003	99	99	2	100	100	100	1082140	1086762	1081473	1081473	100	gov		R:	Estimate informed by reported data.  In March 2005, Iran conducted 41 province specific coverage surveys (n=22 200), 97.8 percent cards seen, age group 15-26 months. Coverage for all infant vaccines greater than 99 percent) which supports reported data.  GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2004	99	99	2	102	100	100	1116486	1094638	1106849	1106849	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2005	97	97	1	97	97	97	1268803	1314619	1134380	1134380	97	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Iran (Islamic Republic of)	Wed Sep 06 18:51:11 2023	irn	dtp1	2006	98	98	2	98	98	98	1227590	1130672	1173397	1173397	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
