Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	1997	95	95	1	97		97			834525	834525	97	admin		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	1998	94	94	1		76	76			853238	853238	76	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Service and reporting system effected by local situation   Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	1999	93	93	1	85	85	85	683637	800871	873199	873199	85	gov	93	W: AP	Estimate of 93 percent assigned by working group.  Service and reporting system effected by local situation   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2000	93	93	1	79	79	79	654166	824897	891409	891409	79	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Service and reporting system effected by local situation   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2001	93	93	1	80	85	85	683192	850237	905480	905480	85	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Service and reporting system effected by local situation   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2002	94	94	1		72	72			915658	915658	72	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Service and reporting system effected by local situation   Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2003	94	94	1		66	66			936534	936534	66	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Service and reporting system effected by local situation   Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2004	94	94	3	86	94	94	910878	1062230	962517	962517	94	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+ D+	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2005	92	92	1	95	95	95	1037507	1091156	975190	975190	95	gov		W: AP	Estimate of 92 percent assigned by working group.  Service and reporting system effected by local situation   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2006	89	89	1	90	90	90	1049915	1162574	997787	997787	90	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2007	92	92	1	81	90	90	972720	1198255	976259	976259	90	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2008	87	87	1	85	83	83	998568	1164306	971626	971626	83	gov		C:	Reported data calibrated to 2005 and 2009 levels.    Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2009	92	92	1	106	106	106	1217889	1149876	1019478	1019478	85	interpolated	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate is based on survey results. Reported data excluded because 106 percent greater than 100 percent. Reported data excluded due to an increase from 83 percent to 106 percent with decrease 86 percent.   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2010	90	90	1	86	86	86	1066399	1245600	1070845	1070845	86	gov	90	W: AP	Estimate of 90 percent assigned by working group.  Estimate is based on survey results.   Estimate challenged by: R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2011	94	94	1	69	69	69	877595	1272312	1131949	1131949	88	interpolated		C:	Reported data calibrated to 2010 and 2015 levels.  Reported data excluded due to decline in reported coverage from 86 percent to 69 percent with increase to 106 percent.   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2012	99	99	1	106	106	106	1356630	1285776	1158752	1158752	91	interpolated		C:	Reported data calibrated to 2010 and 2015 levels.  Reported data excluded because 106 percent greater than 100 percent. Reported data excluded due to an increase from 69 percent to 106 percent with decrease 93 percent.   Estimate challenged by: D-R-	
Iraq	Wed Sep 06 18:51:18 2023	irq	bcg	2013	99	99	1	93	93	93	1237856	1333716	1191996	1191996	93	gov		C:	Reported data calibrated to 2010 and 2015 levels.    Estimate challenged by: R-	
