Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	1997	99	99	1						4164	4164	99	extrapolated		R: AP	Legacy estimate.   GoC=No accepted empirical data	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	1998	99	99	1						4166	4166	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	1999	99	99	1						4103	4103	99	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2000	99	99	2		99	99		4100	4280	4280	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2001	95	95	2		95	95			4094	4094	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2002	96	96	1						4067	4067	96	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2003	97	97	2	97	97	97	3970	4100	4161	4161	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2004	99	99	2	99	99	99	4066	4100	4238	4238	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2005	95	95	2	95	95	95	4275	4500	4249	4249	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2006	97	97	2	97	97	97	4000	4125	4378	4378	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2007	97	97	2	97		97	4423	4560	4495	4495	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2008	99	99	1	94		94	3419	3645	4797	4797	94	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2009	99	99	2	99	99	99	4828	4835	5061	5061	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2010	98	98	2		98	98		4907	4921	4921	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2011	99	99	2	100	99	99	4882	4898	4530	4530	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2012	97	97	2	97	97	97	4361	4501	4537	4537	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Iceland	Wed Sep 06 18:51:32 2023	isl	dtp1	2013	97	97	2	97	97	97	4356	4502	4324	4324	97	gov		R:	Estimate informed by reported data.  The number of vaccinated children is obtained from the National Vaccination Registry. Previously, the number was estimated from sales figures. Iceland uses the number of vaccinated individuals by birth cohorts currently living in Iceland (both Icelandic citizens and foreigners). Therefore, the reported numerator and coverage represent minimum coverage because it is not certain that all doses administered have been recorded by the system.  GoC=R+ D+	
