Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	1997	95	95	2	95	95	95			122800	122800	95	gov		R: AP	Legacy estimate.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	1998	95	95	1						127866	127866	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	1999	95	95	1						129364	129364	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2000	95	95	1						132735	132735	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2001	95	95	1						133016	133016	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2002	95	95	1						135800	135800	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2003	95	95	1						141218	141218	95	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2004	95	95	2	95	95	95			141982	141982	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2005	93	93	2	93	93	93			141596	141596	93	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2006	95	95	2	95	95	95			145708	145708	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2007	95	95	2	95	95	95			149313	149313	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2008	94	94	2	94	94	94			154217	154217	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2009	96	96	2	96	96	96			156400	156400	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2010	95	95	2	95	95	95			161277	161277	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2011	94	94	2	94	94	94			161791	161791	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2012	94	94	2	94	94	94			165412	165412	94	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2013	96	96	2	96	96	96			165831	165831	96	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2014	95	95	2	95	95	95			169911	169911	95	gov		R:	Estimate informed by reported data.   GoC=R+	
Israel	Wed Sep 06 18:51:40 2023	isr	dtp1	2015	95	95	2	95	95	95			180293	180293	95	gov		R:	Estimate informed by reported data.   GoC=R+	
