Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	1997	98	98	1						533385	533385	95	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.  Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	1998	98	98	1						532158	532158	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	1999	98	98	1						538371	538371	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2000	98	98	1						541176	541176	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2001	97	97	1						534309	534309	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2002	97	97	1						535609	535609	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2003	97	97	1						539786	539786	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.   Estimate based on DTP coverage. DT is mandatory, while pertussis vaccination is not, but the use of the hexavalent vaccines for the infants immunization has strongly supported the achievement of high coverage.  GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2004	97	97	1						558303	558303	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.    GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2005	97	97	1						555927	555927	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.    GoC=No accepted empirical data	
Italy	Wed Sep 06 18:51:48 2023	ita	dtp1	2006	97	97	1						559868	559868	95	extrapolated		C:	Reported data calibrated to 1997 and 2018 levels.    GoC=No accepted empirical data	
