Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	1997	97	97	2		97	97			58962	58962	97	gov		R: AP	Legacy estimate.   GoC=R+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	1998	85	85	2	87	85	85			57949	57949	85	gov		R:	Estimate informed by reported data.    GoC=R+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	1999	89	89	2	88	89	89			55058	55058	89	gov		R:	Estimate informed by reported data.    GoC=R+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2000	94	94	1	94	94	94	53267	56911	50087	50087	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2001	96	96	2	96	96	96	50092	51947	49552	49552	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2002	90	90	3	90	90	90	46502	51509	49267	49267	90	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2003	88	88	1	88	88	88	45271	51509	49267	49267	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2004	90	90	3	90	90	90	43203	50980	49549	49549	90	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).  Survey results ignored. Sample size 298 less than 300. .  GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2005	95	95	3	95	95	95	45595	48237	48383	48383	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2006	90	90	3	90	90	90	43351	48237	48781	48781	90	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2007	87	87	1	87	87	87	41334	47288	45162	45162	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2008	92	92	3	92	92	92	42005	45590	45010	45010	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2009	94	94	3	94	94	94	42170	44836	44652	44652	94	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2010	95	95	3	95	95	95	39689	41751	42004	42004	95	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2011	95	95	3	101	101	101	39408	39164	42016	42016	95	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ S+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2012	95	95	2	95	95	95	37385	39164	41584	41584	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2013	93	93	2	93	93	93	36516	39348	40398	40398	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2014	90	90	2	90	90	90	35313	39348	38945	38945	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2015	99	99	2	100	100	100	37652	37841	39550	39550	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2016	96	96	2	96	96	96	35776	37311	37820	37820	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2017	93	93	2	93	93	93	31610	33979	35865	35865	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2018	93	93	2	93	93	93	32174	34426	34423	34423	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2019	97	97	2	97	97	97	33223	34211	33815	33815	97	gov		R:	Estimate informed by reported data.  Programme reports a six month shortage of AD syringes. Programme reports three months vaccine stockout.  GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2020	99	99	2	100	100	100	33703	33788	33317	33317	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2021	97	97	2	97	97	97	31995	32925	33150	33150	97	gov		R:	Estimate informed by reported data.  Programme reports a two months vaccine stockout at the national and subnational levels.  GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	bcg	2022	97		2	102	102	102	31855	31276	32663	32663	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.  Reported data excluded because 102 percent greater than 100 percent.  WHO and UNICEF are aware of a 2022 Multiple Indicator Cluster Survey and await the final results. Programme reports three months vaccine stockout at national and subnational levels.  GoC=R+ D+	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	1997	96	96	1						58962	58962	83	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	1998	92	92	1		83	83			57949	57949	83	gov		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: R-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	1999	96	96	1		84	84			55058	55058	84	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 89.    Estimate challenged by: R-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	2000	97	97	1	87	87	87	49624	56911	50087	50087	87	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 93.    Estimate challenged by: R-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	2001	99	99	1		89	89			49552	49552	89	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Jamaica	Wed Sep 06 18:51:56 2023	jam	dtp1	2002	99	99	1	86	86	86	44281	51509	49267	49267	86	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
