Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2007	94	94	2	94		94	994037	1056800	1124190	1124190	94	admin		R:	Estimate informed by reported administrative data.   BCG schedule changed from school year to less than 6 months of age in 2005. Reporting started in 2007.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2008	90	90	2	90		90	978097	1092674	1125048	1125048	90	admin		R:	Estimate informed by reported administrative data.   Administrative data reported in 2008-2009 refer to immunizations given during 2006.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2009	94	94	2	94		94	994037	1056800	1104950	1104950	94	admin		R:	Estimate informed by reported administrative data.   Administrative data reported in 2008-2009 refer to immunizations given during 2006.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2010	99	99	2	99		99	1067437	1078000	1095286	1095286	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2011	94	94	2	94		94	1011720	1078000	1072936	1072936	94	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2012	95	95	2	95	95	95	991011	1048000	1063425	1063425	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2013	93	93	2	93	93	93	986844	1062250	1055041	1055041	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2014	93	93	2	93	93	93	969941	1044000	1027950	1027950	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2015	84	84	2	84	84	84	877419	1042000	1020821	1020821	84	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2016	98	98	2	98	98	98	996844	1020000	990949	990949	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2017	93	93	2	93	93	93	907867	976978	917160	917160	93	gov		R:	Estimate informed by reported data.   Country notes that 2017 data reflect the fiscal year of April 2016 to March 2017.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2018	99	99	1	99	99	99	988723	1001000	885105	885105	99	gov		R:	Estimate informed by reported data.   Reported coverage data for 2018 reflects the country data from 2016.  Estimate challenged by: D-	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2019	97	97	1	98	101	101	946852	963000	837463	837463	97	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2020	95	95	1	95	95	95	898837	942000	827602	827602	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2021	98	95	2	98	98	98	879939	894000	818509	818509	98	gov		R:	Estimate informed by reported data.   Estimate of 98 percent changed from previous revision value of 95 percent.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	bcg	2022	98		2	104		104	872292	837000	814705	814705	98	extrapolated		R:	Estimate informed by extrapolation from reported data.  Reported data excluded because 104 percent greater than 100 percent.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	1997	88	88	1						1210386	1210386	100	extrapolated		W: AP	Estimate of 88 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	1998	88	88	1						1211319	1211319	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	1999	88	88	1						1191573	1191573	100	extrapolated		C:	Reported data calibrated to 1997 levels.   GoC=No accepted empirical data	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2000	88	88	1		100	100			1217577	1217577	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2001	98	98	1	100	100	100	1189225	1179279	1187011	1187011	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2002	98	98	1	102	102	102	1199619	1174750	1172365	1172365	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 96.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2003	99	99	1	101	101	101	1179977	1168750	1142034	1142034	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2004	99	99	1	103	103	103	1180000	1138500	1128391	1128391	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2005	99	99	1	102		102			1102137	1102137	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2006	99	99	1	101		101			1122960	1122960	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2007	99	99	2				1087325	1065429	1124190	1124190	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    GoC=D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2008	99	99	2				1091985	1076500	1125048	1125048	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.   Administrative data reported in 2008-2009 refer to immunizations given during 2006.  GoC=D+	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2009	99	99	1	106		106	1137541	1076500	1104950	1104950	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 106 percent greater than 100 percent.  Administrative data reported in 2008-2009 refer to immunizations given during 2006.  Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2010	99	99	1	104		104	1137541	1097500	1095286	1095286	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2011	99	99	1	102		102	1108364	1081500	1072936	1072936	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: R-	
Japan	Wed Sep 06 18:52:12 2023	jpn	dtp1	2012	99	99	1	105	105	105	1101600	1048000	1063425	1063425	100	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 97.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: R-	
