Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	1997	99	99	2		99	99			262181	262181	99	gov		R: AP	Legacy estimate.   GoC=R+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	1998	99	99	2		99	99			253313	253313	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	1999	99	99	2	102	100	100	221561	216576	244608	244608	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2000	98	98	2	98	98	98	214832	220047	242436	242436	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2001	95	95	2	98	95	95	223064	226895	239451	239451	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2002	99	99	2	103	99	99	225571	219167	244819	244819	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2003	99	99	2	107	100	100	241704	230176	260022	260022	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2004	65	65	2	65	65	65	159337	243781	276691	276691	65	gov		R:	Estimate informed by reported data.  Kazakhstan Multiple Indicator Cluster Survey 2006 results ignored by working group.  Survey may be conducted in a period that does not reflect vaccine shortage. Decline is the result of five months of vaccine stockout.  GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2005	69	69	2	69	69	69	189812	279054	292854	292854	69	gov		R: AP	 Decline is the result of five months of vaccine stockout. MICH 2006 survey result represents catch-up following 2004-2005 stockout.   GoC=R+ D+	
Kazakhstan	Wed Sep 06 18:52:22 2023	kaz	bcg	2006	99	99	1	107		107	301082	281108	315160	315160	84	interpolated		W:	 MICH 2006 survey result represents catch-up following 2004-2005 stockout. Reported data excluded because 107 percent greater than 100 percent.   Estimate challenged by: R-	
