Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	1997	96	96	1		42	42			1138531	1138531	42	gov	96	W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	1998	99	99	1		85	85			1174273	1174273	85	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-S-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	1999	88	88	2		96	96			1198705	1198705	88	interpolated	91	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).  Reported data excluded due to an increase from 85 percent to 96 percent with decrease 75 percent.   GoC=R+ S+	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2000	91	91	1	51	75	75	546915	1062422	1232209	1232209	91	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 96 percent to 75 percent with increase to 94 percent.   Estimate challenged by: D-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2001	94	94	1	81	94	94	939268	1158274	1270723	1270723	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2002	91	91	1	77	91	91	963998	1250217	1297933	1297933	91	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    Estimate challenged by: D-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2003	87	87	3	87	87	87	1167218	1343353	1318185	1318185	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2004	87	87	3	86	87	87	1165451	1349164	1347244	1347244	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2005	85	85	1	85	85	85	1165448	1374195	1380255	1380255	85	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2006	92	92	3	92	92	92	1293995	1402126	1413926	1413926	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2007	92	92	3	92	92	92	1311507	1430547	1449756	1449756	92	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2008	98	98	1	83	95	95	1281124	1539544	1470999	1470999	95	gov		C:	Reported data calibrated to 2007 and 2012 levels.   Drop in coverage likely due to vaccine shortage (24 days)  Estimate challenged by: D-R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2009	99	99	1	75	75	75	1278828	1707392	1475773	1475773	97	interpolated		C:	Reported data calibrated to 2007 and 2012 levels.  Reported data excluded.  Sudden unexplained change in target populationReported data excluded due to decline in reported coverage from 95 percent to 75 percent with increase to 99 percent.   Estimate challenged by: D-R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2010	99	99	1	99	99	99	1333991	1353782	1470988	1470988	99	gov		C:	Reported data calibrated to 2007 and 2012 levels.   Revised denominator.  Estimate challenged by: D-R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2011	99	99	1	92	92	92	1285494	1402494	1460603	1460603	92	gov		C:	Reported data calibrated to 2007 and 2012 levels.    Estimate challenged by: D-R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2012	97	97	1	84	84	84	1217074	1446564	1451360	1451360	84	gov	97	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 97 percent based on 1 survey(s).    Two-month vaccine shortage reported.  Estimate challenged by: D-R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2013	92	92	1	79	95	79	1276848	1617967	1440023	1440023	79	admin		C:	Reported data calibrated to 2012 levels.  Reported year to year change in number of births between 2012 and 2013 is significantly higher than in previous years. Insufficient explanation of methods and data sources used to derive government official estimates.  Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2014	94	94	1	84	81	81	1321797	1579365	1435746	1435746	81	gov		C:	Reported data calibrated to 2012 levels.   Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2015	87	87	1	74	74	74	1278058	1727698	1452290	1452290	74	gov		C:	Reported data calibrated to 2012 levels.  Programme reports two months national level stockout.  Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2016	99	99	1	86	86	86	1307608	1514737	1456804	1456804	86	gov		C:	Reported data calibrated to 2012 levels.  Programme reports one month national level stockout.  Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2017	89	89	1	80	76	76	1242786	1556327	1457610	1457610	76	gov		C:	Reported data calibrated to 2012 levels.  Programme reports one month vaccine stockout.  Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2018	95	95	1	82	82	82	1372026	1678688	1459581	1459581	82	gov		C:	Reported data calibrated to 2012 levels.  Programme reports one month vaccine stockout at the national level.  Estimate challenged by: R-	
Kenya	Wed Sep 06 18:52:31 2023	ken	bcg	2019	93	93	1	84	84	84	1347199	1612223	1451197	1451197	85	interpolated		W:	 Estimate based on difference in administered doses reported between 2018 and 2019 applied to the 2018 estimate. Reported data excluded.  Country notes that new census results suggest a smaller target population size than that based on projections from the prior census. Programme reports five months vaccine stockout.  Estimate challenged by: R-	
