Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	1997	97	97	2		97	97			113830	113830	97	gov		R: AP	Legacy estimate.   GoC=R+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	1998	94	94	2		94	94			111838	111838	94	gov		R:	Estimate informed by reported data.    GoC=R+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	1999	99	99	1	99	99	99	97571	98637	109841	109841	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2000	96	96	1	98	96	96	927117	94240	106732	106732	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2001	99	99	1	99	99	99	92658	93737	106943	106943	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2002	99	99	1	99	99	99	96786	97638	108866	108866	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2003	99	99	2	99	99	99	99399	100499	111138	111138	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2004	98	98	1	98	98	98	101236	102763	115608	115608	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2005	96	96	1	96	96	96	101120	105058	118796	118796	96	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2006	99	99	1	99	99	99	109749	111227	124614	124614	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2007	98	98	2	98	98	98	119732	122540	130672	130672	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2008	99	99	1	99	99	99	118587	120042	137133	137133	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2009	98	98	1	98	98	98	126428	129026	145221	145221	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2010	98	98	3	98	98	98	139377	141725	152823	152823	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2011	98	98	3	98	98	98	140830	143934	159456	159456	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 2 survey(s).    GoC=R+ S+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2012	98	98	3	98	98	98	143743	147162	163124	163124	98	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2013	98	98	3	98	98	98	149281	152381	165257	165257	98	gov		R:	Estimate informed by reported data.   Reported coverage levels may be over estimated due to differences in target population estimates between medical organizations and National Statistical Committee partly due to migration.  GoC=R+ S+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2014	97	97	3	97	97	97	152377	157368	167698	167698	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Kyrgyzstan	Wed Sep 06 18:52:55 2023	kgz	bcg	2015	97	97	3	97	97	97	154987	159956	168032	168032	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
