Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	1997	67	67	1	82		82			361791	361791	82	admin	67	W: AP	Estimate of 67 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	1998	69	69	1	76		76			343343	343343	76	admin		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	1999	78	78	1	78	78	78	355217	457049	341083	341083	78	gov	71	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 71 percent based on 1 survey(s).    Estimate challenged by: D-S-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2000	81	81	1	83	81	81	342472	411252	334039	334039	81	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2001	64	64	1	78	64	64	319836	409548	332245	332245	64	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2002	63	63	1	75	63	63	318761	427046	332112	332112	63	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2003	76	76	1	76	76	76	332239	437680	330996	330996	76	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2004	95	95	3	95	95	95	340330	358494	331909	331909	95	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2005	87	87	3	87	87	87	320067	367445	333855	333855	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2006	87	87	1	87	87	87	326639	376825	335562	335562	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2007	90	90	1	90		90	346171	385437	341590	341590	90	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2008	98	98	3	98		98	346967	353439	341495	341495	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2009	96	96	1	102		102	367806	359071	341521	341521	96	interpolated	94	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2010	95	95	1	94		94	344619	364865	340475	340475	94	admin		C:	Reported data calibrated to 2009 and 2013 levels.    Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2011	98	98	1	101	101	101	348151	343998	341089	341089	97	interpolated		C:	Reported data calibrated to 2009 and 2013 levels.  Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2012	99	99	1	99	99	99	352568	355268	344997	344997	99	gov		C:	Reported data calibrated to 2009 and 2013 levels.    Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2013	96	96	1	93	93	93	328373	354614	346065	346065	93	gov	96	W: AP	Estimate of 96 percent assigned by working group.  Estimate is based on survey results from 2013 DHS.  Four months national stockout reported.  Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2014	98	98	1	103	103	103	359384	350145	346996	346996	95	interpolated		C:	Reported data calibrated to 2013 and 2019 levels.  Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2015	99	99	1	95	105	105	361645	381245	345053	345053	98	interpolated		C:	Reported data calibrated to 2013 and 2019 levels.  Reported data excluded because 105 percent greater than 100 percent.  Programme acknowledges challenges in data quality impacting on administrative coverage levels. Programme reports a switch in information source from the national statistics office to the national health information system. Current information suggests a decline in target population that may partially explain reported increase in coverage. WHO and UNICEF recommend a review of recording and reporting practices as well as a data review inclusive of the target population data sources.  Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2016	99	99	1	100	100	100	350167	350537	342034	342034	100	gov		C:	Reported data calibrated to 2013 and 2019 levels.    Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2017	99	99	1	98		98	349124	357484	338417	338417	98	admin		C:	Reported data calibrated to 2013 and 2019 levels.    Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2018	90	93	1	90		90	331598	369677	333912	333912	90	admin		C:	Reported data calibrated to 2013 and 2019 levels.   Estimate of 90 percent changed from previous revision value of 93 percent.  Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2019	95	98	1	95		95	350301	367692	329219	329219	95	admin	94	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 94 percent based on 1 survey(s).   Programme reports two months national and district level vaccine stockout. Estimate of 95 percent changed from previous revision value of 98 percent.  Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2020	94	97	1	102	102	102	362737	357095	325659	325659	94	interpolated	94	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).  Reported data excluded because 102 percent greater than 100 percent.  Programme reports a one month vaccine stockout at national level and unknown for subnational levels. Estimate of 94 percent changed from previous revision value of 97 percent.  Estimate challenged by: D-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2021	92	95	3	92		92	324465	352662	320934	320934	92	admin		R:	Estimate informed by reported administrative data.   Estimates for some antigens do not reflect declines in reported coverage from 2020 to 2021. Estimate of 92 percent changed from previous revision value of 95 percent.  GoC=R+ S+ D+	
Cambodia	Wed Sep 06 18:53:03 2023	khm	bcg	2022	95		3	95		95	325639	341920	318335	318335	95	admin		R:	Estimate informed by reported administrative data.   Programme reports one month vaccine stockout.  GoC=R+ S+ D+	
Cambodia	Wed Sep 06 18:53:03 2023	khm	dtp1	1997	62	62	1	79		79			361791	361791	79	admin	62	W: AP	Estimate of 62 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Cambodia	Wed Sep 06 18:53:03 2023	khm	dtp1	1998	78	78	1	86		86			343343	343343	86	admin		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-S-	
