Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	1997	99	99	1		100	100			2782	2782	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	1998	97	97	1		97	97			2777	2777	97	gov		R: AP	 Estimate based on reported data.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	1999	70	70	1	70	70	70	1684	2410	2756	2756	70	gov		R:	Estimate informed by reported data.  Fluctuations attributed to small birth cohort.  GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2000	80	80	1	72	80	80	1726	2410	2735	2735	80	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2001	85	85	1	100	85	85	1942	1832	2708	2708	85	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2002	88	88	1	101		101	1844	1632	2684	2684	88	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2003	91	91	1						2668	2668	91	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2004	94	94	1	94		94	2370	2507	2753	2753	94	admin		R:	Estimate informed by reported administrative data.    GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2005	93	93	1	112		112	2699	2403	2833	2833	93	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 112 percent greater than 100 percent.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
Kiribati	Wed Sep 06 18:53:19 2023	kir	bcg	2006	91	91	1	114		114	2873	2520	2934	2934	91	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 114 percent greater than 100 percent.   GoC=Assigned by working group.  Inconsistent information between reported data and independent assessments across the time series.	
