Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	1997	99	99	2		99	99			888	888	99	gov		R: AP	Legacy estimate.   GoC=R+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	1998	99	99	2		100	100			889	889	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	1999	99	99	2	100	99	99			878	878	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2000	99	99	2	100	100	100	915	915	836	836	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2001	95	95	1	95	95	95	905	931	799	799	95	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2002	99	99	2	99	99	99			786	786	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2003	99	99	2		100	100	855	832	779	779	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2004	89	89	2	89	89	89	719	812	769	769	89	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2005	99	99	2	104	100	100	735	709	761	761	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2006	99	99	2	100	100	100	790	790	754	754	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2007	97	97	2	97	97	97	741	764	745	745	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Saint Kitts and Nevis	Wed Sep 06 18:53:31 2023	kna	bcg	2008	95	95	2	95	95	95	760	798	732	732	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
