Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	1997	91	91	2		91	91			659248	659248	91	gov		R: AP	Legacy estimate.   GoC=R+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	1998	75	75	2		75	75			632466	632466	75	gov		R:	Estimate informed by reported data.   GoC=R+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	1999	74	74	1						606683	606683	74	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2000	73	73	1	73	73	73	514492	704523	585841	585841	73	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2001	81	81	1	57		57	364133	636780	531046	531046	81	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 73 percent to 57 percent with increase to 89 percent.   Estimate challenged by: D-	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2002	89	89	1	89		89	530263	599073	483211	483211	89	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2003	87	87	1	87	87	87	484466	556857	468465	468465	87	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2004	93	93	2	93	93	93	435518	469761	452204	452204	93	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2005	97	97	2	97	97	97	421356	432529	432555	432555	97	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2006	98	98	2	98	98	98	411322	424737	440382	440382	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2007	96	96	2	96	96	96	401632	419288	461047	461047	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2008	96	96	2	96	96	96	445466	464015	449060	449060	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Republic of Korea	Wed Sep 06 18:53:43 2023	kor	bcg	2009	96	96	2	96	96	96	448654	465892	439272	439272	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
