Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2006	84	84	2	84		84			51103	51103	84	admin		R:	Estimate informed by reported administrative data.   BCG schedule changed from 4-6 years to three months.  GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2007	94	94	2	94		94			53951	53951	94	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2008	99	99	2	99		99			56544	56544	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2009	99	99	2	99		99			59149	59149	99	admin		R:	Estimate informed by reported administrative data.    GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2010	98	98	2	98	98	98	55440	56667	61450	61450	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2011	99	99	2	99	99	99	57121	57698	63863	63863	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2012	97	97	2	98	97	97	57879	59361	66113	66113	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2013	99	99	1	99		99	58597	59028	67912	67912	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2014	99	99	1	98	99	99	60402	61554	69377	69377	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2015	99	99	2	99	99	99	60185	59474	63845	63845	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2016	96	96	2	96	96	96	55575	58137	60579	60579	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2017	99	99	2	99	99	99	57893	57695	58329	58329	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2018	96	96	2	96	96	96	54982	55722	57053	57053	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2019	97	97	1						55174	55174	97	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2020	98	98	1						52942	52942	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2021	99	99	1	99	99	99	51968	47875	44412	44412	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	bcg	2022	99		1	99	99	99	50183	47445	41456	41456	99	gov		R:	Estimate informed by reported data.   No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	1997	98	98	1						40795	40795	97	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	1998	98	98	1						40706	40706	97	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	1999	97	97	1						40856	40856	97	extrapolated		C:	Reported data calibrated to 1997 and 2002 levels.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2000	98	98	1	97	97	97	41099	42337	41618	41618	97	gov		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2001	99	99	1	100		100			42943	42943	100	admin		C:	Reported data calibrated to 1997 and 2002 levels.    Estimate challenged by: R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2002	99	99	2	99	99	99			44318	44318	99	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2003	99	99	2	100	100	100			46031	46031	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2004	99	99	2		100	100			47590	47590	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2005	99	99	2	107		107	45559	42680	48688	48688	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 107 percent greater than 100 percent.   GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2006	99	99	1						51103	51103	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2007	99	99	1						53951	53951	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2008	99	99	1						56544	56544	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2009	99	99	1						59149	59149	98	interpolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    GoC=No accepted empirical data	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2010	98	98	2	98	98	98	55580	56667	61450	61450	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2011	99	99	1	98	98	98	56750	57698	63863	63863	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2012	99	99	1	98	97	97	57944	59361	66113	66113	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2013	99	99	1	97		97	57097	59028	67912	67912	97	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: D-R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2014	97	97	1	97		97	59638	61554	69377	69377	97	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2015	99	99	1	97	97	97	57531	59474	63845	63845	97	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2016	99	99	1	98	98	98	57045	58303	60579	60579	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2017	99	99	2	99	99	99	57695	57695	58329	58329	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2018	99	99	2	99	99	99	56981	55722	57053	57053	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Kuwait	Wed Sep 06 18:53:52 2023	kwt	dtp1	2019	99	99	1						55174	55174	99	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
