Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	1997	58	58	2		58	58			186409	186409	58	gov		R: AP	Legacy estimate.   GoC=R+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	1998	56	56	2		56	56			184315	184315	56	gov		R:	Estimate informed by reported data.    GoC=R+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	1999	63	63	2	63	63	63	113877	180479	184767	184767	63	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2000	69	69	2	58	69	69	114146	196599	179704	179704	69	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2001	60	60	2	60	60	60	113837	188195	176592	176592	60	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2002	65	65	2	68	65	65	125728	183892	173554	173554	65	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2003	65	65	3	65	65	65	121616	188306	172572	172572	65	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2004	60	60	3	60	60	60	118923	198424	172922	172922	60	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2005	65	65	3	65		65	127159	195306	171603	171603	65	admin	64	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 64 percent based on 1 survey(s).    GoC=R+ S+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2006	61	61	1	61	96	61	123522	201175	173661	173661	61	admin		R:	Estimate informed by reported administrative data.   The 2006 estimate is based on administrative coverage using the projections from the National Statistics Center, while the national official estimate is based on the EPI system registration books.  Estimate challenged by: D-	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2007	56	56	3	56	56	56	106938	191323	174689	174689	56	gov		R:	Estimate informed by reported data.  .  GoC=R+ S+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2008	68	68	3	68	68	68	128119	189287	174138	174138	68	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2009	67	67	1	67	67	67	115069	171704	173413	173413	67	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2010	72	72	1	72		72	175089	175359	171394	171394	72	admin	78	R: AP	Estimate informed by reported administrative data supported by survey. Survey evidence of 78 percent based on 1 survey(s).    Estimate challenged by: D-	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2011	78	78	1	77		77	137700	179117	170211	170211	77	admin		C:	Reported data calibrated to 2010 and 2014 levels.    Estimate challenged by: R-	
Lao Peopleÿs Democratic Republic	Wed Sep 06 18:54:02 2023	lao	bcg	2012	85	85	1	81	81	81	147328	182938	168363	168363	81	gov		C:	Reported data calibrated to 2010 and 2014 levels.    Estimate challenged by: R-	
