Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	1997	97	97	1						90235	90235	93	extrapolated		W: AP	Estimate of 97 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	1998	95	95	1						89515	89515	93	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   GoC=No accepted empirical data	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	1999	92	92	1						89051	89051	93	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   GoC=No accepted empirical data	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2000	90	90	1	44	93	93	28163	64680	88562	88562	93	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2001	88	88	1		95	95	29237		88500	88500	95	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2002	85	85	1	40	98	98	27245	67388	87860	87860	98	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2003	83	83	1	43	98	98	28956	67388	86328	86328	98	gov	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2004	83	83	1				32208		84904	84904	98	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.    Estimate challenged by: D-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2005	83	83	1	56	56	56	36742	65405	83713	83713	98	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2006	84	84	1	57	57	57	37158	65405	83286	83286	98	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2007	84	84	1	56	56	56	38221	65405	83152	83152	98	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results. Pentavalent DTP-HepB-Hib vaccine introduced in 2007.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2008	84	84	1	60	99	99	39193	65405	83784	83784	98	extrapolated	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).   Reported data excluded.  Reported data not consistent with survey results. Administrative data are based on immunizations provided in the public sector. The government estimate includes immunizations delivered in both the public and private sector.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2009	86	86	1	96	96	96	66678	68033	85219	85219	98	extrapolated		C:	Reported data calibrated to 2008 and 2013 levels.  Reported data excluded.  Reported data not consistent with survey results. Administrative data and government estimate includes both data reported by the public sector as well as for immunizations delivered in the private sector. The private sector provides immunization services for between 5 percent to 80 percent of all immunization services.  Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2010	88	88	1	98	98	98	68494	69891	88131	88131	98	extrapolated		C:	Reported data calibrated to 2008 and 2013 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2011	91	91	1	98	98	98	65251	66925	90134	90134	98	extrapolated		C:	Reported data calibrated to 2008 and 2013 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2012	93	93	1	99	99	99	65167	65892	91585	91585	98	extrapolated		C:	Reported data calibrated to 2008 and 2013 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2013	95	95	1	100	100	100	67442	67442	94948	94948	98	extrapolated	95	W: AP	Estimate of 95 percent assigned by working group.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. Beginning in the middle of 2013, there was an influx of displaced populations from Syria into Lebanon potentially impacting coverage levels in the country. In spite of reports from UNHCR, reported target population estimates from the national immunization programme do not reflect increases beyond the expected year-to-year population growth. A 2013 national EPI coverage survey suggests lower coverage levels among Syrian subpopulations living in Lebanon, particularly those who recently entered the country.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2014	96	96	1	96	96	96	68885	71607	109568	109568	98	extrapolated	96	W: AP	Estimate of 96 percent assigned by working group.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. The influx of Syrian subpopulations into Lebanon during 2014 continued to increase potentially impacting reported coverage levels in the country. In spite of reports from UNHCR, reported target population estimates from the national immunization programme do not reflect increases beyond the expected year-to-year population growth. Beginning in 2015 a stream of work has begun to further understand recent patterns in coverage across recommended vaccines in Lebanon, including a review of administrative recording and reporting systems as well as immunization coverage among displaced populations.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2015	96	96	1	92	93	93	101226	109434	115666	115666	98	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. Government reports target population estimates reflect estimated number of Lebanese and non-Lebanese children. Programme also reports increases in number of children vaccinated.  Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2016	96	96	1	92	92	92	100296	109434	110828	110828	98	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. Government of Lebanon does not concur with the WHO and UNICEF estimates of vaccination coverage. Beginning in 2015 a stream of work has begun to further understand recent patterns in coverage across recommended vaccines in Lebanon, including a review of administrative recording and reporting systems as well as immunization coverage among displaced populations.  Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2017	96	96	1	94	94	94	129748	138251	105204	105204	98	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Reported data not consistent with 2016 EPI coverage evaluation survey results across all vaccines.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2018	96	96	1	95	95	95	131069	138551	98956	98956	98	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Reported data not consistent with 2016 EPI coverage evaluation survey results across all vaccines.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2019	96	96	1	95	95	95	115093	120972	93362	93362	98	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Programme notes ongoing challenges with regards to accurate monitoring of the number of children vaccinated as well as the target population. Administrative data is collected from the public sector, while for private providers the numerator is estimated from vaccine purchase data. The denominator is derived from national statistical reports and UNHCR data inclusive of Lebanese and non-Lebanese children. Programme notes the absence of single year of age information for the target population, thereby requiring use of crude approximations. The reported target population decreased by 15 percent between 2018 and 2019.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2020	87	87	1	86	86	86	104035	120972	87727	87727	98	extrapolated		W:	 Decline in reported coverage related to COVID-19 pandemic service disruptions. Although there are challenges with the reported data, the trend in coverage from 2019 to 2020 is reflected in the estimated coverage. Reported data excluded.  Programme notes ongoing challenges with regards to accurate monitoring of the number of children vaccinated as well as the target population. Administrative data is collected from the public sector, while for private providers the numerator is estimated from vaccine purchase data. The denominator is derived from national statistical reports and UNHCR data inclusive of Lebanese and non-Lebanese children. Programme notes the absence of single year of age information for the target population, thereby requiring use of crude approximations. The reported target population was the same for 2019 and 2020.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2021	88	88	1	87	87	87	105487	120972	84450	84450	98	extrapolated		W:	 Although there are challenges with the reported data, the trend in coverage from 2020 to 2021 is reflected in the estimated coverage. Reported data excluded. . The reported target population is the same for 2019, 2020 and 2021.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp1	2022	88		1	96		96	93665	97232	81179	81179	98	extrapolated		W:	 Estimate informed by prior year estimated value. Reported data excluded.  Unexplained decline of 20 percent in reported target population from 2021 to 2022 accompanied by unexplained declines in reported number of doses administered for most antigens. Rapid year-to-year changes require independent verification. WHO and UNICEF are aware of an ongoing 2023 Multiple Indicator Cluster Survey and await the final results. Programme reports one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	1997	92	92	2		92	92			90235	90235	92	gov		R: AP	Legacy estimate.   GoC=R+	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	1998	89	89	1		96	96			89515	89515	96	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	1999	86	86	1	94	94	94	62471	66245	89051	89051	94	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2000	83	83	1	38	90	90	24194	64317	88562	88562	90	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2001	80	80	1		93	93	23030		88500	88500	93	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2002	77	77	1	35	92	92	23109	66000	87860	87860	92	gov		W-I:	Estimate informed by interpolation between 1997 and 2003 levels.  Reported data not consistent with survey results.   Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2003	74	74	1	37	92	92	24392	65800	86328	86328	92	gov	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2004	75	75	1				27835		84904	84904	92	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.    Estimate challenged by: D-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2005	77	77	1	47	47	47	30976	65405	83713	83713	92	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2006	78	78	1	46	46	46	30100	65405	83286	83286	92	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2007	80	80	1	52	48	48	33912	65405	83152	83152	92	extrapolated		C:	Reported data calibrated to 2003 and 2008 levels.  Reported data excluded.  Reported data not consistent with survey results. Pentavalent DTP-HepB-Hib vaccine introduced in 2007.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2008	81	81	1	59	93	93	37161	65405	83784	83784	92	extrapolated	81	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 81 percent based on 1 survey(s).   Lebanon Multiple Indicator Cluster Survey 2009 card or history results of 72 percent modifed for recall bias to 81 percent based on 1st dose card or history coverage of 84 percent, 1st dose card only coverage of 51 percent and 3rd dose card only coverage of 49 percent. Reported data excluded.  Reported data not consistent with survey results. Administrative data are based on immunizations provided in the public sector. The government estimate includes immunizations delivered in both the public and private sector.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2009	81	81	1	93	93	93	63134	68033	85219	85219	92	extrapolated		W-I:	Estimate informed by interpolation between 2008 and 2013 levels.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with survey results. Administrative data and government estimate includes both data reported by the public sector as well as for immunizations delivered in the private sector. The private sector provides immunization services for between 5 percent to 80 percent of all immunization services.  Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2010	82	82	1	94	94	94	65698	69891	88131	88131	92	extrapolated		W-I:	Estimate informed by interpolation between 2008 and 2013 levels.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2011	82	82	1	95	95	95	63511	66925	90134	90134	92	extrapolated		W-I:	Estimate informed by interpolation between 2008 and 2013 levels.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with survey results.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2012	83	83	1	95	95	95	63190	65892	91585	91585	92	extrapolated		W-I:	Estimate informed by interpolation between 2008 and 2013 levels.  Estimate based on survey results. Reported data excluded.  Reported data not consistent with survey results. A national EPI coverage was conducted during 2013 among children aged 12-59 months and suggests that 90 percent of children received three doses of DTP containing vaccine by the 5th birthday. Coverage among children aged less than 12 months will be slightly lower.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2013	83	83	1	98	98	98	66362	67442	94948	94948	92	extrapolated	87	W: AP	Estimate of 83 percent assigned by working group.  Estimate based on survey results for the 2014 cohort as this is the youngest cohort in the survey. Lebanon District-Based Immunization Coverage Cluster Survey 2016 card or history results of 85 percent modifed for recall bias to 87 percent based on 1st dose card or history coverage of 95 percent, 1st dose card only coverage of 59 percent and 3rd dose card only coverage of 54 percent. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. Beginning in the middle of 2013, there was an influx of displaced populations from Syria into Lebanon potentially impacting coverage levels in the country. In spite of reports from UNHCR, reported target population estimates from the national immunization programme do not reflect increases beyond the expected year-to-year population growth. A 2013 national EPI coverage survey suggests lower coverage levels among Syrian subpopulations living in Lebanon, particularly those who recently entered the country.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2014	83	83	1	97	97	97	69243	71607	109568	109568	92	extrapolated	83	W: AP	Estimate of 83 percent assigned by working group.  Estimate based on survey results for the 2014 cohort as this is the youngest cohort in the survey. Lebanon District-Based Immunization Coverage Cluster Survey 2016 card or history results of 84 percent modifed for recall bias to 83 percent based on 1st dose card or history coverage of 96 percent, 1st dose card only coverage of 53 percent and 3rd dose card only coverage of 46 percent. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. The influx of Syrian subpopulations into Lebanon during 2014 continued to increase potentially impacting reported coverage levels in the country. In spite of reports from UNHCR, reported target population estimates from the national immunization programme do not reflect increases beyond the expected year-to-year population growth. Beginning in 2015 a stream of work has begun to further understand recent patterns in coverage across recommended vaccines in Lebanon, including a review of administrative recording and reporting systems as well as immunization coverage among displaced populations.  Estimate challenged by: D-R-	
Lebanon	Wed Sep 06 18:54:12 2023	lbn	dtp3	2015	83	83	1	91	91	91	99453	109434	115666	115666	92	extrapolated		C:	Reported data calibrated to 2014 levels. Reported data excluded.  Reported data not consistent with 2013 EPI coverage evaluation survey results across all vaccines. Government reports target population estimates reflect estimated number of Lebanese and non-Lebanese children. Programme also reports increases in number of children vaccinated.  Estimate challenged by: R-	
