Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	1999	82	82	1	43	43	43	51871	121764	121782	121782	43	gov	82	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 82 percent based on 1 survey(s).   Survey results ignored. Sample size 89 less than 300.   Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2000	78	78	1	44	44	44	74782	168000	126317	126317	44	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2001	73	73	1	77	77	77	128871	167507	128201	128201	77	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2002	69	69	1	67	67	67	106544	159105	130026	130026	67	gov		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2003	64	64	1	43	43	43	48799	113972	130974	130974	64	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2004 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to decline in reported coverage from 67 percent to 43 percent with increase to 60 percent.   Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2004	60	60	1	60	60	60	79942	134143	129496	129496	60	gov	69	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 69 percent based on 1 survey(s).    Estimate challenged by: S-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2005	76	76	1	82	82	82	134993	164250	133431	133431	82	gov		C:	Reported data calibrated to 2004 and 2006 levels.   During 2005 Liberia carried out six multi-antigen immunization outreach activities.  Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2006	77	77	1	89	89	89	164694	184832	141238	141238	89	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2007	77	77	1	86	86	86	162909	189998	147134	147134	86	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2008	85	85	1	92	92	92	179663	195698	150548	150548	92	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2009	87	87	1	93	92	92	165603	178117	152049	152049	92	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: D-R-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2010	73	73	1	76	76	76	138414	181858	153011	153011	76	gov		C:	Reported data calibrated to 2006 and 2011 levels.    Estimate challenged by: D-R-S-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2011	85	85	3	85	85	85	144480	170204	154647	154647	85	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    GoC=R+ S+ D+	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2012	85	85	1	85	85	85	160687	189576	162129	162129	85	gov	94	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 94 percent based on 1 survey(s).    Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2013	87	87	1	87	87	87	143615	165864	160385	160385	87	gov		R: AP	 Estimate is based on reported data.   GoC=Assigned by working group.  Consistency with other antigens.	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2014	73	73	1	73	73	73	123154	169347	158978	158978	73	gov		R: AP	 Estimate is based on reported data. Liberia Malaria Indicator Survey 2016 results ignored by working group.  Survey results based on documented evidence suggest a decline in coverage consistent with primary healthcare service disruptions associated with the Ebola virus outbreak in 2014. Vaccination history information collected by caregiver recall are inconsistent with this pattern.  Estimate challenged by: S-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2015	74	74	1	74	74	74	127622	172904	158069	158069	74	gov		R: AP	 Estimate based on reported coverage. Liberia Malaria Indicator Survey 2016 results ignored by working group. . Concerns exist with regards to vaccination history results based on caregiver recall and recovery of service delivery disruptions during the 2014 Ebola virus outbreak. In spite of this, survey results tend to support levels of coverage reported prior to the outbreak for most antigens.  Estimate challenged by: S-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2016	81	81	1	91	97	97	160002	176536	159119	159119	97	gov		W-I:	Estimate informed by interpolation between 2015 and 2017 levels. .   GoC=Assigned by working group.  Consistency with other antigens.	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2017	87	87	1	87	87	87	154798	180242	159429	159429	87	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2018	92	92	1	92	92	92	170880	186715	160303	160303	92	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2019	84	84	1	84	84	84	160564	190636	160753	160753	84	gov		R:	Estimate informed by reported data.  Country notes financial challenges coupled with other logistical and operational issues that contributed to a decline in vaccination coverage during 2019.  Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2020	85	85	1	85	85	85	163052	191837	161486	161486	85	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2021	81	81	1	81	81	81	158545	195866	162685	162685	81	gov		R:	Estimate informed by reported data.  Programme reports two months vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	bcg	2022	67		1	67	67	67	134159	199979	164452	164452	67	gov		R:	Estimate informed by reported data.  Programme reports a four months vaccine stockout at national and subnational levels.  Estimate challenged by: D-	
Liberia	Wed Sep 06 18:54:23 2023	lbr	dtp1	1999	84	84	2						121782	121782	79	extrapolated	84	W: AP	Estimate of 84 percent assigned by working group.  Estimate is based on survey results Survey results ignored. Sample size 89 less than 300.   GoC=S+	
