Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	1997	97	97	2		97	97			111950	111950	97	gov		R: AP	Legacy estimate.   GoC=R+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	1998	97	97	2		97	97			110634	110634	97	gov		R:	Estimate informed by reported data.    GoC=R+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	1999	97	97	2		97	97			109606	109606	97	gov		R:	Estimate informed by reported data.    GoC=R+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2000	98	98	1						108912	108912	98	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2001	99	99	1	99		99	97453	98752	119013	119013	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2002	99	99	1	99		99	98628	99625	122940	122940	99	admin		R:	Estimate informed by reported administrative data.    Estimate challenged by: D-	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2003	99	99	1						127341	127341	100	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2004	99	99	3	100	100	100	138453	138453	132261	132261	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2005	99	99	3	100	100	100	146445		137581	137581	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2006	99	99	3	100	100	100	145759	145759	141982	141982	100	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2007	99	99	3	100	100	100	150067	150067	143902	143902	100	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2008	99	99	1	100	100	100	163800	163800	145522	145522	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2009	99	99	1	100	100	100	195232	195232	146965	146965	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Libya	Wed Sep 06 18:54:34 2023	lby	bcg	2010	99	99	1						152900	152900	100	interpolated		R:	Estimate informed by interpolation between reported data.   No empirical data available. Estimate is based on interpolation and actual coverage levels were likely lower during the time of civil strife.  GoC=No accepted empirical data	
