Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	1997	99	99	1		100	100			3467	3467	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate. .  Estimate challenged by: R-	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	1998	85	85	2		85	85			3308	3308	85	gov		R: AP	 Estimate based on reported data. .  GoC=R+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	1999	99	99	2		99	99			3135	3135	99	gov		R:	Estimate informed by reported data. .  GoC=R+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2000	91	91	2	91	91	91	2735	3013	2957	2957	91	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2001	99	99	2	110		110	3061	3793	2793	2793	110	admin		R:	Estimate informed by reported administrative data.  .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2002	95	95	2	95		95			2647	2647	95	admin		R:	Estimate informed by reported administrative data.  .  GoC=R+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2003	95	95	2	95		95	2404	2601	2526	2526	95	admin		R:	Estimate informed by reported administrative data.  .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2004	99	99	2	100	100	100		2458	2423	2423	100	gov		R:	Estimate informed by reported data. .  GoC=R+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2005	97	97	1				2522	2440	2345	2345	97	interpolated		R:	Estimate informed by interpolation between reported data.  .  Estimate challenged by: D-	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2006	94	94	2	94	94	94	2036	2156	2290	2290	94	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2007	99	99	2	100	100	100	2145	2145	2248	2248	100	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2008	99	99	2	100	100	100	2164	2161	2211	2211	100	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2009	97	97	2	97	97	97	2172	2233	2180	2180	97	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2010	97	97	2	97	97	97	2110	2172	2152	2152	97	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2011	99	99	1	108	108	108	2006	1857	2159	2159	108	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2012	99	99	2	107	107	107	2112	1979	2163	2163	107	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2013	99	99	2	112	112	112	2242	1998	2165	2165	112	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2014	89	89	2	89	89	89	1851	2070	2166	2166	89	gov		R:	Estimate informed by reported data.  Programme reports three months stockout of BCG vaccine at national level..  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2015	99	99	2	106	106	106	2096	1986	2164	2164	106	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2016	96	96	2	96	96	96	1988	2067	2157	2157	96	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2017	88	88	2	88	88	88	1772	2021	2146	2146	88	gov		R:	Estimate informed by reported data.  Fluctuation in reported data is attributed to small birth cohort..  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2018	99	99	1	105	105	105	1963	1864	2132	2132	105	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2019	95	95	2	95	95	95	1797	1896	2113	2113	95	gov		R:	Estimate informed by reported data.  Programme reports a four months supply disruption of disposable syringes..  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2020	89	89	2	89	89	89	1690	1896	2091	2091	89	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2021	81	81	2	81	81	81	1484	1830	2064	2064	81	gov		R:	Estimate informed by reported data.  Programme reports five month vaccine stockout at national level..  GoC=R+ D+	
Saint Lucia	Wed Sep 06 18:54:54 2023	lca	bcg	2022	89		2	89	89	89	1637	1842	2035	2035	89	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage Programme reports three months vaccine stockout at national and subnational levels..  GoC=R+ D+	
