Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	1997	96	96	2		96	96			331705	331705	96	gov		R: AP	Legacy estimate.   GoC=R+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	1998	90	90	2		90	90			324815	324815	90	gov		R:	Estimate informed by reported data.    GoC=R+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	1999	97	97	2	97	97	97	307760	318834	331406	331406	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2000	98	98	2	102	101	101	329459	322023	342452	342452	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.   GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2001	98	98	2	108	108	108	355834	330827	356061	356061	98	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 108 percent greater than 100 percent.   GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2002	99	99	2	97	99	99	342112	354000	361696	361696	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2003	99	99	2	97	100	100	330712	340403	364787	364787	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2004	99	99	3	92	99	99	343589	372526	365898	365898	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2005	99	99	3	95	100	100	344292	361453	370691	370691	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2006	99	99	3	96	99	99	352869	367657	381925	381925	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    GoC=R+ S+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2007	99	99	3	99	99	99	374918	378695	381352	381352	99	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2008	99	99	3	95	99	99	361136	379912	374755	374755	99	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2009	99	99	2	94	99	99	357555	379912	366700	366700	99	gov		R:	Estimate informed by reported data.  In April 2008 Sri Lanka withdrew DTP-HepB-Hib pentavalent vaccine as a precautionary measure following reports of serious adverse events. Subsequent investigation of the reported adverse events and a review of the vaccine quality by WHO concluded that there was no evidence of increased safety risk associated with the vaccine. The suspension of the vaccine led to a high proportion of parents seeking Hib immunization for their children in the private sector. Reporting by the private sector is not complete. Nationally reported estimates have been adjusted to levels of measles coverage provided in the public sector.  GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2010	99	99	2	97	99	99	353278	364565	363013	363013	99	gov		R:	Estimate informed by reported data.  EPI coverage survey conducted in 2010 in Western Province Sri Lanka which consist of 60 percent of the Sri Lankan population confirms that parents continue to seek immunization services from the private sector.  GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2011	99	99	2	94	99	99	344684	363415	365456	365456	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2012	99	99	2	98	99	99	347778	355900	364854	364854	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Sri Lanka	Wed Sep 06 18:55:01 2023	lka	bcg	2013	99	99	2	98	99	99	357733	365524	360151	360151	99	gov		R:	Estimate informed by reported data.  Programme reports that differences between official and administrative coverage levels reflect the contribution of services delivered through the private sector.  GoC=R+ D+	
