Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	1997	94	94	1		53	53			60979	60979	53	gov		W: AP	Estimate of 94 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	1998	93	93	1		55	55			59845	59845	55	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	1999	92	92	1	68	64	64	45528	68730	58858	58858	64	gov	92	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 92 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2000	88	88	2						58273	58273	63	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2001 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   GoC=S+	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2001	83	83	1	72	72	72	47144	65666	58718	58718	62	interpolated	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 1 survey(s).   Reported data excluded. Fluctuations in reported data suggest poor quality administrative recording and reporting.  Estimate challenged by: R-S-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2002	90	90	1	61	61	61	28601	47000	59311	59311	61	gov		W-I:	Estimate informed by interpolation between 2001 and 2003 levels. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2003	96	96	1	57	57	57	37833	66717	59408	59408	57	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: D-R-S-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2004	96	96	1	54	72	72	34317	63494	57934	57934	72	gov		W-I:	Estimate informed by interpolation between 2003 and 2008 levels. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2005	96	96	1	81	81	81	40479	49862	57230	57230	81	gov		W-I:	Estimate informed by interpolation between 2003 and 2008 levels. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2006	95	95	1	94	81	81	53889	57327	57639	57639	81	gov		W-I:	Estimate informed by interpolation between 2003 and 2008 levels. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2007	95	95	1	83	85	85	48514	58473	59060	59060	85	gov		W-I:	Estimate informed by interpolation between 2003 and 2008 levels. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2008	95	95	1		85	85			58737	58737	85	gov	95	W: AP	Estimate of 95 percent assigned by working group.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2009	92	92	1	80	80	80	34834		58162	58162	80	gov		W-I:	Estimate informed by interpolation between 2008 and 2011 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2010	90	90	1	73	80	80	31658	43549	57690	57690	80	gov		W-I:	Estimate informed by interpolation between 2008 and 2011 levels.  Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Lesotho	Wed Sep 06 18:55:09 2023	lso	bcg	2011	87	87	1	68	68	68	36796	54112	59393	59393	68	gov	87	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 87 percent based on 1 survey(s).     Estimate challenged by: D-R-S-	
