Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	1997	98	98	2		98	98			39808	39808	98	gov		R: AP	Legacy estimate.   GoC=R+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	1998	99	99	2		99	99			39054	39054	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	1999	99	99	2	99	99	99			38357	38357	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2000	99	99	1	99	99	99	31410	31700	35951	35951	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2001	99	99	2	99	99	99	30003	30215	32674	32674	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2002	99	99	2	99	99	99	29941	30153	31010	31010	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2003	99	99	2	99	99	99	30332	30516	31055	31055	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2004	99	99	1	99	99	99	26921	27211	30729	30729	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2005	99	99	1	99	99	99	26147	26299	30556	30556	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2006	99	99	1	99	99	99	26415	26570	30621	30621	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Lithuania	Wed Sep 06 18:55:22 2023	ltu	bcg	2007	99	99	1	99	99	99	26535	26724	30808	30808	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
