Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	1997	98	98	1		99	99			5451	5451	99	gov		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	1998	98	98	1		99	99			5352	5352	99	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	1999	98	98	1		99	99			5495	5495	99	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2000	99	99	1		100	100			5550	5550	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2001	99	99	1		100	100			5419	5419	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2002	99	99	1		100	100			5314	5314	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   High levels of coverage are supported by a survey of 511 children 25-30 months of age, which shows coverage of 100 percent.  Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2003	99	99	1		100	100			5248	5248	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2004	99	99	1		100	100			5386	5386	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2005	99	99	1		100	100			5295	5295	100	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2006	99	99	1		100	100			5424	5424	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2007	99	99	1		100	100			5392	5392	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2008	99	99	1		100	100			5483	5483	100	gov		C:	Reported data calibrated to 1997 levels.  Nationally reported data are based on the 2007-2008 vaccination coverage survey. High levels of coverage are supported by a survey of 562 children 25-30 months of age, which shows coverage of 99.5 percent.  Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2009	99	99	1		100	100			5562	5562	100	gov		C:	Reported data calibrated to 1997 levels.  Nationally reported data are based on the 2007-2008 vaccination coverage survey.  Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2010	99	99	1		100	100			5755	5755	100	gov		C:	Reported data calibrated to 1997 levels.  High levels of coverage supported by a survey of 614 children aged 25-30 m which shows coverage of 100 percent.  Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2011	99	99	1		100	100			5546	5546	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2012	99	99	1		100	100			5904	5904	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
Luxembourg	Wed Sep 06 18:55:29 2023	lux	dtp1	2013	99	99	1		100	100			5993	5993	100	gov		C:	Reported data calibrated to 1997 levels.   Estimate challenged by: R-	
