Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	1997	99	99	1	98	100	100			20035	20035	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	1998	99	99	2	99	100	100			19466	19466	100	gov		R: AP	 Estimate based on reported data.   GoC=R+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	1999	99	99	2	99	100	100			20163	20163	100	gov		R:	Estimate informed by reported data.    GoC=R+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2000	99	99	2	97	100	100	19515	20216	20887	20887	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2001	99	99	2	99	100	100	19350	19644	20308	20308	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2002	99	99	2	99	100	100	19774	19997	20540	20540	100	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2003	97	97	2	97	97	97	20575	21151	21249	21249	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2004	98	98	2	98	98	98	20108	20551	20721	20721	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2005	97	97	2	97	97	97	21194	21879	21786	21786	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2006	95	95	2	95	95	95	21635	22871	22730	22730	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2007	95	95	2	95	95	95	22693	23958	23577	23577	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2008	95	95	2	95	95	95	23123	24397	23811	23811	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2009	96	96	2	96	96	96	21104	22044	21871	21871	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2010	92	92	2	92	92	92	18149	19781	20098	20098	92	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2011	93	93	3	93	93	93	17486	18825	19329	19329	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2012	94	94	3	94	94	94	18765	19897	20289	20289	94	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2013	94	94	3	94	94	94	19411	20596	21036	21036	94	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2014	92	92	3	92	92	92	20012	21746	22082	22082	92	gov		R:	Estimate informed by reported data.   GoC=R+ S+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2015	93	93	3	94	93	93	20365	21692	22232	22232	93	gov		R:	Estimate informed by reported data.  Programme reports three months national level stockout.  GoC=R+ S+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2016	96	96	2	96	96	96	20906	21763	22058	22058	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2017	96	96	2	96	96	96	19695	20614	20884	20884	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2018	95	95	2	95	95	95	18237	19107	19434	19434	95	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2019	96	96	2	96	96	96	17859	18589	18693	18693	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2020	99	99	2	100	100	100	17312	17376	17545	17545	100	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2021	96	96	2	96	96	96	16562	17333	17024	17024	96	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	bcg	2022	99		2	99	99	99	15349	15535	16531	16531	99	gov		R:	Estimate informed by reported data.  No nationally representative independent assessment within the last 5 years. WHO and UNICEF recommend a high-quality independent empirical assessment to confirm reported levels of coverage.  GoC=R+ D+	
Latvia	Wed Sep 06 18:55:39 2023	lva	dtp1	1997	99	99	2	100	99	99			20035	20035	99	gov		R: AP	Legacy estimate.   GoC=R+	
Latvia	Wed Sep 06 18:55:39 2023	lva	dtp1	1998	99	99	2	96	99	99			19466	19466	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Latvia	Wed Sep 06 18:55:39 2023	lva	dtp1	1999	98	98	1	98	93	93			20163	20163	93	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.    Estimate challenged by: R-	
