Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	1997	94	94	2	94		94			676443	676443	94	admin		R: AP	Legacy estimate.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	1998	90	90	2	90		90			669214	669214	90	admin		R:	Estimate informed by reported administrative data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	1999	93	93	2	88	93	93	575557	650961	653958	653958	93	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2000	97	97	3	93	97	97	588917	607520	650258	650258	97	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2001	93	93	3	88	93	93	589516	666240	644491	644491	93	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2002	92	92	3	89	92	92	600203	669920	645080	645080	92	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2003	92	92	3	89	92	92	591899	667940	646256	646256	92	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2004	95	95	3	92	95	95	592434	644389	647727	647727	95	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2005	95	95	2	92	95	95	582911	634398	651843	651843	95	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2006	95	95	2	92	95	95	590897	640964	659022	659022	95	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2007	96	96	2	93	96	96	602553	648961	665180	665180	96	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2008	99	99	2	96	99	99	620517	649654	672527	672527	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2009	99	99	2	99	99	99	652739	660354	687075	687075	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2010	99	99	2	100	100	100	681844	681844	695643	695643	100	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2011	99	99	2	100	100	100	699046	699046	708502	708502	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2012	99	99	2	100	100	100	713224	702780	711273	711273	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2013	99	99	2	100	100	100	707966	689150	715388	715388	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2014	99	99	3	100	100	100	731304	702478	706790	706790	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2015	99	99	3	100	100	100	725837	724609	705071	705071	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2016	99	99	3	100	100	100	694753	674227	684405	684405	100	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2017	99	99	3	100	100	100	685616	677410	686331	686331	100	gov		R:	Estimate informed by reported data.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2018	99	99	3	100	100	100	677897	679863	676690	676690	100	gov		R:	Estimate informed by reported data.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2019	99	99	2	100	100	100	684644	681606	666487	666487	100	gov		R:	Estimate informed by reported data.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2020	99	99	1						656572	656572	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2021	99	99	1						650892	650892	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.    GoC=No accepted empirical data	
Morocco	Wed Sep 06 18:55:47 2023	mar	bcg	2022	99		1						643109	643109	100	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=No accepted empirical data	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	1997	99	99	2	99	99	99			676443	676443	99	gov		R: AP	Legacy estimate.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	1998	99	99	2	99	99	99			669214	669214	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	1999	93	93	2	93	93	93			653958	653958	93	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2000	98	98	3	95	98	98	577807	607520	650258	650258	98	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2001	97	97	3	93	97	97	582126	628357	644491	644491	97	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2002	98	98	1	90	93	93	570932	632575	645080	645080	93	gov	98	RMF:	DTP1 coverage estimated based on DTP3 coverage of 94.   National reported estimates include estimated number of immunizations provided in the private sector.  Estimate challenged by: R-	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2003	94	94	3	91	94	94	576179	631397	646256	646256	94	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2004	99	99	3	96	99	99	590021	644389	647727	647727	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2005	99	99	1	96	99	99	577511	600724	651843	651843	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  Estimate challenged by: D-	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2006	99	99	2	96	99	99	587562	610124	659022	659022	99	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2007	98	98	2	95	98	98	590444	619492	665180	665180	98	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2008	99	99	2	98	100	100	609622	619209	672527	672527	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2009	99	99	2	101	101	101			687075	687075	100	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 101 percent greater than 100 percent.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2010	99	99	2	100	100	100	660424	660424	695643	695643	100	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 0 less than 300.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2011	99	99	2	102	100	100	719108	699046	708502	708502	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2012	99	99	2	99	100	100	696552	702780	711273	711273	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2013	99	99	2	100	100	100	698047	689150	715388	715388	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2014	99	99	3	100	100	100	730814	702478	706790	706790	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2015	99	99	3	100	100	100	725062	724609	705071	705071	100	gov		R:	Estimate informed by reported data.   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2016	99	99	3	100	100	100	697658	651026	684405	684405	100	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).   National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2017	99	99	3	100	100	100	682097	652810	686331	686331	100	gov		R:	Estimate informed by reported data.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
Morocco	Wed Sep 06 18:55:47 2023	mar	dtp1	2018	99	99	3	100	100	100	676511	654141	676690	676690	100	gov		R:	Estimate informed by reported data.  National reported estimates include estimated number of immunizations provided in the private sector.  GoC=R+ S+ D+	
