Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	1997	95	95	1						340	340	100	extrapolated		W: AP	Estimate of 95 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	1998	99	99	1						349	349	100	extrapolated		W: AP	Estimate of 99 percent assigned by working group.  Estimate based on reported data.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	1999	99	99	1	100	100	100			351	351	100	gov		C:	Reported data calibrated to 1998 levels.   Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2000	97	97	1						362	362	98	interpolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2001	94	94	1						381	381	95	interpolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2002	92	92	1						353	353	93	interpolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2003	89	89	1		90	90			337	337	90	gov		C:	Reported data calibrated to 1998 levels.   Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2004	89	89	1						339	339	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2005	89	89	1						333	333	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2006	89	89	1						339	339	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2007	89	89	1						339	339	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2008	89	89	1						350	350	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2009	89	89	1						344	344	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2010	89	89	1						342	342	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2011	89	89	1						324	324	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	bcg	2012	89	89	1						330	330	90	extrapolated		C:	Reported data calibrated to 1998 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	1997	99	99	1						340	340	100	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	1998	99	99	1						349	349	100	extrapolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	1999	99	99	1						351	351	100	extrapolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2000	99	99	1						362	362	100	extrapolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2001	99	99	1						381	381	100	extrapolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2002	99	99	1		100	100			353	353	100	gov		C:	Reported data calibrated to 1997 and 2019 levels.    Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2003	99	99	1						337	337	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2004	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2005	99	99	1						333	333	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2006	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2007	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2008	99	99	1						350	350	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2009	99	99	1						344	344	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2010	99	99	1						342	342	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2011	99	99	1						324	324	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2012	99	99	1						330	330	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2013	99	99	1						330	330	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2014	99	99	1						346	346	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2015	99	99	1						344	344	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2016	99	99	1						349	349	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2017	99	99	1						330	330	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2018	99	99	1		100	100			339	339	100	gov		C:	Reported data calibrated to 1997 and 2019 levels.    Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2019	99	99	1		100	100			331	331	100	gov		W: AP	Estimate of 99 percent assigned by working group. .   Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2020	99	99	1						324	324	100	extrapolated		C:	Reported data calibrated to 2019 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2021	99	99	1						322	322	100	extrapolated		C:	Reported data calibrated to 2019 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp1	2022	99		1						319	319	100	extrapolated		C:	Reported data calibrated to 2019 levels.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend an independent assessment of the reported vaccination coverage.  GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	1997	99	99	1						340	340	100	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	1998	99	99	1						349	349	100	extrapolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	1999	99	99	1	100	100	100			351	351	100	gov		C:	Reported data calibrated to 1997 and 2019 levels.    Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2000	99	99	1						362	362	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2001	99	99	1						381	381	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2002	99	99	1						353	353	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2003	99	99	1						337	337	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2004	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2005	99	99	1						333	333	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2006	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2007	99	99	1						339	339	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2008	99	99	1						350	350	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2009	99	99	1						344	344	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2010	99	99	1						342	342	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2011	99	99	1						324	324	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2012	99	99	1						330	330	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2013	99	99	1						330	330	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2014	99	99	1						346	346	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2015	99	99	1						344	344	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2016	99	99	1						349	349	100	interpolated		C:	Reported data calibrated to 1997 and 2019 levels.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2017	99	99	1		100	100			330	330	100	gov		C:	Reported data calibrated to 1997 and 2019 levels.    Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2018	99	99	1		100	100			339	339	100	gov		C:	Reported data calibrated to 1997 and 2019 levels.    Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2019	99	99	1		100	100			331	331	100	gov		W: AP	Estimate of 99 percent assigned by working group. .   Estimate challenged by: R-	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2020	99	99	1						324	324	100	extrapolated		C:	Reported data calibrated to 2019 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2021	99	99	1						322	322	100	extrapolated		C:	Reported data calibrated to 2019 levels.   GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	dtp3	2022	99		1						319	319	100	extrapolated		C:	Reported data calibrated to 2019 levels.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend an independent assessment of the reported vaccination coverage.  GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	1999	99	99	2	100	100	100			351	351	100	gov		R:	Estimate informed by reported data.   HepB vaccine introduced in 1994. Reporting started in 1999.  GoC=R+	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2000	99	99	1						362	362	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2001	99	99	1						381	381	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2002	99	99	1						353	353	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2003	99	99	1						337	337	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2004	99	99	1						339	339	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2005	99	99	1						333	333	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2006	99	99	1						339	339	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2007	99	99	1						339	339	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2008	99	99	1						350	350	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2009	99	99	1						344	344	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2010	99	99	1						342	342	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2011	99	99	1						324	324	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2012	99	99	1						330	330	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
Monaco	Wed Sep 06 18:55:56 2023	mco	hepb3	2013	99	99	1						330	330	100	extrapolated		R:	Estimate informed by extrapolation from reported data.    GoC=No accepted empirical data	
