Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	1997	97	97	2	97	97	97			57896	57896	97	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	1998	98	98	2	98	98	98			54489	54489	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	1999	99	99	1	99	99	99	44278	44469	51644	51644	99	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2000	99	99	1	99	99	99	42080	42193	49804	49804	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2001	99	99	1	99	99	99	37233	37759	48605	48605	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2002	99	99	1	99	99	99	38114	38514	47645	47645	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2003	99	99	1	99	99	99	39556	40568	49037	49037	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2004	99	99	1	99	99	99	41487	43113	51090	51090	99	gov	100	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 100 percent based on 1 survey(s).    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2005	97	97	1	97	97	97	41266	42383	50770	50770	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Republic of Moldova	Wed Sep 06 18:56:04 2023	mda	bcg	2006	99	99	1	98	99	99	41473	42403	51055	51055	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
