Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	1997	67	67	1		74	74			638274	638274	74	gov		W: AP	Estimate of 67 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	1998	70	70	1		71	71			645260	645260	71	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Fluctuating and inconsistent data suggest poor reporting. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	1999	72	72	1	90	90	90	516895	615360	652512	652512	90	gov		W: AP	Estimate of 72 percent assigned by working group.  Estimate based on survey results. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2000	72	72	1	102	102	102	603074	592313	655449	655449	84	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded because 102 percent greater than 100 percent. Reported data excluded due to an increase from 90 percent to 102 percent with decrease 43 percent.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2001	73	73	1	88	43	43	399827	455272	665369	665369	79	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to decline in reported coverage from 102 percent to 43 percent with increase to 73 percent.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2002	73	73	3	73	73	73	454846	620017	672895	672895	73	gov	72	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 72 percent based on 1 survey(s).    GoC=R+ S+ D+	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2003	77	77	1	96	96	96	616175	639626	685457	685457	96	gov		W-I:	Estimate informed by interpolation between 2002 and 2007 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2004	85	85	1	88	88	88	532084	659460	698684	698684	88	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2005	92	92	1	95	95	95	601483	632005	714551	714551	95	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2006	95	95	1	101	100	100	654335	674701	730792	730792	100	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2007	94	94	1	103	100	100	685940	667892	746153	746153	100	gov	94	W: AP	Estimate of 94 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2008	83	83	1	97	97	97	701718	724713	760188	760188	97	gov	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 1 survey(s).     Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2009	78	78	1	87	87	87	651603	745009	776080	776080	87	gov		C:	Reported data calibrated to 2008 and 2011 levels.   Ministry of Health reports 15 days of vaccine shortage.  Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2010	76	76	1	81	81	81	622772	772345	783282	783282	81	gov		C:	Reported data calibrated to 2008 and 2011 levels.  Madagascar Immunization Coverage Evaluation, 2011 results ignored by working group.  Survey results remain preliminary.  Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2011	82	82	3	82	82	82	648960	793057	783591	783591	82	gov	74	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 74 percent based on 1 survey(s).    GoC=Assigned by working group.  Estimate is supported by R+ S+ D+.	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2012	74	74	3	78	78	78	636295	815257	787102	787102	78	gov		C:	Reported data calibrated to 2011 and 2016 levels.   Since 2006, maternal and child health weeks have been conducted twice per year and serve as an important contribution towards routine immunization service delivery. In 2011 and 2012, the maternal and child health weeks accounted for 20 to 30 percent of children 0 to 11 months of age reached with routine vaccination services.  GoC=Assigned by working group.  Estimate is supported by R+ S+ D+.	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2013	70	70	1	77	77	77	640395	829771	794968	794968	77	gov		C:	Reported data calibrated to 2011 and 2016 levels.   Since 2006, maternal and child health weeks have been conducted twice per year and serve as an important contribution towards routine immunization service delivery. In 2011 and 2012, the maternal and child health weeks accounted for 20 to 30 percent of children 0 to 11 months of age reached with routine vaccination services.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2014	64	64	1	75	75	75	635620	853005	801103	801103	75	gov		C:	Reported data calibrated to 2011 and 2016 levels.    Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2015	56	56	1	70	70	70	591883	841134	814367	814367	70	gov		C:	Reported data calibrated to 2011 and 2016 levels.    Estimate challenged by: D-R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2016	74	74	1	92	92	92	791064	863845	835638	835638	92	gov	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2017	74	74	1	91		91	820352	901227	850058	850058	91	admin	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2018	77	75	1	91	91	91	848798	929471	861570	861570	91	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).    Estimate of 77 percent changed from previous revision value of 75 percent.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2019	79	79	1	94	94	94	894728	954567	872971	872971	94	gov	79	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 79 percent based on 2 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2020	75	75	1	90	90	90	870759	963725	884817	884817	90	gov		C:	Reported data calibrated to 2019 levels.  Programme reports one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2021	52	52	1	67	67	67	670102	993225	895045	895045	67	gov		C:	Reported data calibrated to 2019 levels.  Programme reports a six month vaccine stockout at national and subnational levels..  Estimate challenged by: D-R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	bcg	2022	63		1	75	75	75	812889	1088858	906130	906130	67	extrapolated		W:	 Estimate informed by the relative difference between doses administered between 2021 and 2022 applied to the estimated BCG coverage for 2021. Reported data excluded.  Unexplained increase in the reported target population of surviving infants of 11 percent between 2021 and 2022. Reported increase in the number of doses for some vaccines of lesser magnitude. Programme reports a one month vaccine stockout at national and subnational levels.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	1997	73	73	1						638274	638274	86	extrapolated		W: AP	Estimate of 73 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	1998	73	73	1						645260	645260	86	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=No accepted empirical data	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	1999	73	73	1						652512	652512	86	extrapolated		W: AP	Estimate of 73 percent assigned by working group.  Estimate based on survey results. Survey results ignored. Sample size 0 less than 300.   GoC=No accepted empirical data	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2000	74	74	1	86	86	86	509175	592313	655449	655449	86	gov		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2001	75	75	1	92	44	44	377610	411566	665369	665369	81	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to decline in reported coverage from 86 percent to 44 percent with increase to 76 percent.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2002	76	76	1	76	76	76	425343	563595	672895	672895	76	gov	71	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 71 percent based on 1 survey(s).    Estimate challenged by: D-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2003	79	79	1	99	99	99	576258	583339	685457	685457	81	interpolated		W-I:	Estimate informed by interpolation between 2002 and 2007 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to an increase from 76 percent to 99 percent with decrease 86 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2004	82	82	1	86	86	86	519321	601428	698684	698684	86	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2005	88	88	1	91	92	92	544510	595349	714551	714551	92	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2006	93	93	1	100	99	99	609725	612018	730792	730792	99	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2007	92	92	1	104	100	100	657042	629154	746153	746153	100	gov	92	W: AP	Estimate of 92 percent assigned by working group.  Estimate based on survey results.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2008	84	84	1	101	100	100	691580	682680	760188	760188	100	gov	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).     Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2009	80	80	1	96	96	96	674520	701795	776080	776080	96	gov		C:	Reported data calibrated to 2008 and 2011 levels.    Estimate challenged by: R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2010	78	78	1	94	94	94	683024	727548	783282	783282	94	gov		C:	Reported data calibrated to 2008 and 2011 levels.  Madagascar Immunization Coverage Evaluation, 2011 results ignored by working group.  Survey results remain preliminary.  Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2011	80	80	1	96	96	96	717487	747055	783591	783591	96	gov	80	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 80 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2012	78	78	1	96	96	96	741021	769067	787102	787102	96	gov		C:	Reported data calibrated to 2011 and 2016 levels.   Since 2006, maternal and child health weeks have been conducted twice per year and serve as an important contribution towards routine immunization service delivery. In 2011 and 2012, the maternal and child health weeks accounted for 20 to 30 percent of children 0 to 11 months of age reached with routine vaccination services.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2013	76	76	1	96	96	96	748217	781645	794968	794968	96	gov		C:	Reported data calibrated to 2011 and 2016 levels.   Since 2006, maternal and child health weeks have been conducted twice per year and serve as an important contribution towards routine immunization service delivery. In 2011 and 2012, the maternal and child health weeks accounted for 20 to 30 percent of children 0 to 11 months of age reached with routine vaccination services.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2014	77	77	1	99	99	99	792920	804676	801103	801103	99	gov		C:	Reported data calibrated to 2011 and 2016 levels.    Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2015	71	71	1	95	95	95	755390	793478	814367	814367	95	gov		C:	Reported data calibrated to 2011 and 2016 levels.    Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2016	74	74	1	100	100	100	814548	814902	835638	835638	100	gov	74	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 74 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2017	71	71	1	96		96	819063	850166	850058	850058	96	admin	71	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 71 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2018	77	73	1	97	97	97	849322	876810	861570	861570	97	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).    Estimate of 77 percent changed from previous revision value of 73 percent.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2019	77	76	1	101	101	101	907603	900484	872971	872971	99	interpolated	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 2 survey(s).   Reported data excluded because 101 percent greater than 100 percent.  Estimate of 77 percent changed from previous revision value of 76 percent.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2020	78	73	1	100	100	100	909062	909123	884817	884817	100	gov		C:	Reported data calibrated to 2019 levels.  Programme reports one month vaccine stockout at national and subnational levels. Estimate of 78 percent changed from previous revision value of 73 percent.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2021	66	65	1	88	88	88	824414	936952	895045	895045	88	gov		C:	Reported data calibrated to 2019 levels.  Programme reports a one month vaccine stockout at national and subnational levels.. Estimate of 66 percent changed from previous revision value of 65 percent.  Estimate challenged by: D-R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp1	2022	66		1	85	85	85	879985	1039497	906130	906130	88	extrapolated		C:	Reported data calibrated to 2019 levels. Reported data excluded.  Unexplained increase in the reported target population of surviving infants of 11 percent between 2021 and 2022. Reported increase in the number of doses for some vaccines of lesser magnitude.  Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	1997	49	49	1		61	61			638274	638274	61	gov		W: AP	Estimate of 49 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	1998	52	52	1		54	54			645260	645260	54	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Fluctuating and inconsistent data suggest poor reporting. Survey results ignored. Sample size 0 less than 300.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	1999	55	55	1	72	71	71	412820	615360	652512	652512	71	gov		W: AP	Estimate of 55 percent assigned by working group.  Estimate based on survey results. Survey results ignored. Sample size 0 less than 300. NA card or history results of 55 percent modifed for recall bias to 62 percent based on 1st dose card or history coverage of 73 percent, 1st dose card only coverage of 47 percent and 3rd dose card only coverage of 40 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2000	57	57	1	80	80	80	474409	592313	655449	655449	80	gov		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2001	60	60	1	80	37	37	330199	411566	665369	665369	71	interpolated		W-I:	Estimate informed by interpolation between 1999 and 2002 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to decline in reported coverage from 80 percent to 37 percent with increase to 62 percent.   Estimate challenged by: D-R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2002	62	62	1	62	62	62	348617	563595	672895	672895	62	gov	64	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 64 percent based on 1 survey(s).  Madagascar Demographic and Health Survey 2003-2004 card or history results of 61 percent modifed for recall bias to 64 percent based on 1st dose card or history coverage of 71 percent, 1st dose card only coverage of 48 percent and 3rd dose card only coverage of 43 percent.   Estimate challenged by: D-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2003	66	66	1	87	87	87	506991	583339	685457	685457	72	interpolated		W-I:	Estimate informed by interpolation between 2002 and 2007 levels.  Fluctuating and inconsistent data suggest poor reporting. Reported data excluded due to an increase from 62 percent to 87 percent with decrease 75 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2004	78	78	1	75	75	75	450171	601428	698684	698684	82	interpolated		C:	Reported data calibrated to 2002 and 2007 levels.  Reported data excluded due to decline in reported coverage from 87 percent to 75 percent with increase to 92 percent.   Estimate challenged by: D-R-S-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2005	85	85	1	92	92	92	548916	595349	714551	714551	92	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2006	85	85	1	93	93	93	571390	612018	730792	730792	93	gov		C:	Reported data calibrated to 2002 and 2007 levels.    Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2007	84	84	1	95	95	95	597230	629154	746153	746153	95	gov	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).   Madagascar Immunization Coverage Survey 2008 card or history results of 82 percent modifed for recall bias to 84 percent based on 1st dose card or history coverage of 92 percent, 1st dose card only coverage of 67 percent and 3rd dose card only coverage of 61 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2008	77	77	1	88	88	88	600065	682680	760188	760188	88	gov	77	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 77 percent based on 1 survey(s).   Madagascar Demographic and Health Survey 2008-2009 card or history results of 73 percent modifed for recall bias to 77 percent based on 1st dose card or history coverage of 84 percent, 1st dose card only coverage of 60 percent and 3rd dose card only coverage of 55 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2009	77	77	1	89	89	89	625041	701795	776080	776080	89	gov		C:	Reported data calibrated to 2008 and 2011 levels.    Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2010	70	70	1	86	85	85	622667	727548	783282	783282	85	gov		C:	Reported data calibrated to 2008 and 2011 levels.  Madagascar Immunization Coverage Evaluation, 2011 results ignored by working group.  Survey results remain preliminary.Madagascar Immunization Coverage Evaluation, 2011 card or history results of 82 percent modifed for recall bias to 83 percent based on 1st dose card or history coverage of 92 percent, 1st dose card only coverage of 53 percent and 3rd dose card only coverage of 48 percent.   Estimate challenged by: R-	
Madagascar	Wed Sep 06 18:56:11 2023	mdg	dtp3	2011	73	73	1	89	89	89	666111	747055	783591	783591	89	gov	73	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 73 percent based on 1 survey(s).   National Monitoring of the Millenium Development Goals Survey in Madagascar; ENSOMD 2012-2013 card or history results of 63 percent modifed for recall bias to 73 percent based on 1st dose card or history coverage of 80 percent, 1st dose card only coverage of 45 percent and 3rd dose card only coverage of 41 percent.   Estimate challenged by: D-R-	
