Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	1997	99	99	2		99	99			6992	6992	99	gov		R: AP	Legacy estimate.   GoC=R+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	1998	99	99	2		99	99			6581	6581	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	1999	98	98	2		98	98			6153	6153	98	gov		R:	Estimate informed by reported data.    GoC=R+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2000	99	99	1	100	99	99	12870	12930	5799	5799	99	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 158 less than 300.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2001	98	98	2	98	98	98	5433	5515	5585	5585	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2002	99	99	2	99	99	99	4979	5055	5532	5532	99	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2003	98	98	2	98	98	98	4979	5055	5580	5580	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2004	98	98	2	98	98	98	5113	5198	5694	5694	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2005	97	97	2	99	97	97	5173	5218	5829	5829	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2006	99	99	3	99	99	99	5782	5826	6111	6111	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2007	98	98	1	99	98	98	5785	5826	6624	6624	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2008	98	98	1	99	98	98	5990	6030	7142	7142	98	gov	99	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 99 percent based on 1 survey(s).    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2009	99	99	1	99	99	99	10453	10515	7497	7497	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2010	97	97	1	97	97	97	10587	10868	7592	7592	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2011	98	98	2	98		98	7349	7478	7623	7623	98	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2012	99	99	3	100	100	100	7128	7148	7634	7634	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2013	99	99	3	100	100	100	7135	7453	7508	7508	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2014	99	99	3	99	99	99	7651	7739	7407	7407	99	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2015	99	99	3	100	100	100	7209	7233	7498	7498	100	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2016	99	99	1	100	100	100	6577	6592	7526	7526	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2017	99	99	1	100	100	100	6726	6736	7524	7524	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2018	99	99	1	100	100	100	6479	6508	7523	7523	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2019	99	99	1	100	100	100	6235	6240	7517	7517	100	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2020	99	99	1	99	99	99	6091	6183	7490	7490	99	gov		R:	Estimate informed by reported data.  Programme reported a one month vaccine stockout at national level.  Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2021	99	99	1	99	99	99	6039	6087	7337	7337	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	bcg	2022	99		1	99	99	99	5641	5709	7197	7197	99	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	1997	98	98	1						6992	6992	99	extrapolated		W: AP	Estimate of 98 percent assigned by working group. Legacy estimate.   GoC=No accepted empirical data	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	1998	98	98	1						6581	6581	99	extrapolated		C:	Reported data calibrated to 1997 and 2008 levels.    GoC=No accepted empirical data	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	1999	99	99	1		99	99			6153	6153	99	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2000	98	98	1	99	99	99	12779	12930	5799	5799	99	gov		C:	Reported data calibrated to 1997 and 2008 levels.  Survey results ignored. Sample size 158 less than 300.   Estimate challenged by: D-R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2001	99	99	1	98	98	98	5431	5515	5585	5585	98	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2002	98	98	1	99	99	99	4979	5055	5532	5532	99	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2003	98	98	1	98	98	98	4979	5055	5580	5580	98	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2004	98	98	1	98	98	98	5113	5198	5694	5694	98	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2005	99	99	1	99	99	99	5171	5218	5829	5829	99	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: D-R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2006	98	98	1	99	99	99	5782	5826	6111	6111	99	gov		C:	Reported data calibrated to 1997 and 2008 levels.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2007	99	99	1	99	95	95	5785	5826	6624	6624	95	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2008	99	99	1	99	96	96	5990	6030	7142	7142	96	gov	99	RMF:	DTP1 coverage estimated based on DTP3 coverage of 98.    Estimate challenged by: D-R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2009	99	99	1	99	99	99	10444	10515	7497	7497	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2010	97	97	1	97	97	97	10561	10868	7592	7592	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2011	97	97	2	97		97	7190	7395	7623	7623	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2012	99	99	1	99	99	99	6780	6822	7634	7634	99	gov		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.    Estimate challenged by: D-R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2013	99	99	1	99	99	99	1139	1147	7508	7508	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2014	99	99	1	99	98	98	6923	7028	7407	7407	98	gov	91	RMF:	DTP1 coverage estimated based on DTP3 coverage of 99.    Estimate challenged by: R-	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2015	99	99	3	99	100	100	7239	7277	7498	7498	100	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
Maldives	Wed Sep 06 18:56:22 2023	mdv	dtp1	2016	99	99	1	99	99	99	6435	6476	7526	7526	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
