Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	1997	99	99	2		99	99			2381468	2381468	99	gov		R: AP	Legacy estimate.   GoC=R+	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	1998	99	99	2	99	99	99			2366195	2366195	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	1999	99	99	2	96	99	99			2376083	2376083	99	gov		R:	Estimate informed by reported data.    GoC=R+	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2000	99	99	1	100	100	100	2104148	2124297	2369103	2369103	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2001	99	99	1	100	100	100	69966	71077	2361422	2361422	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2002	99	99	1	100	100	100	2054976	2067380	2350590	2350590	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2003	99	99	1	100	100	100	1178792	1184062	2339268	2339268	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2004	99	99	1	100	100	100	1799196	1207970	2326284	2326284	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2005	99	99	1	99	99	99	1734583	1959018	2312543	2312543	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2006	99	99	1	98	99	99	1158138	1184556	2296928	2296928	99	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Mexico	Wed Sep 06 18:56:30 2023	mex	bcg	2007	99	99	1	100	100	100	1642718	1648151	2286462	2286462	100	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
