Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	1997	94	94	2		94	94			1910	1910	94	gov		R: AP	Legacy estimate.  Fluctuation in reported administrative data is attributed to small birth cohort.  GoC=R+	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	1998	81	81	2		81	81			1912	1912	81	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  GoC=R+	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	1999	81	81	1		81	81	1003		1919	1919	81	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2000	89	89	1	100	89	89	1002	1002	1920	1920	89	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2001	99	99	1	100		100	1002	1002	1920	1920	100	admin		R:	Estimate informed by reported administrative data.   Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2002	90	90	1	86	90	90	1389	1561	1912	1912	90	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2003	93	93	1	93	93	93	1405	1516	1908	1908	93	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2004	91	91	1	91	91	91	1372	1512	1902	1902	91	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2005	93	93	1	93	93	93	1492	1601	1889	1889	93	gov		R:	Estimate informed by reported data.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
Marshall Islands	Wed Sep 06 18:56:41 2023	mhl	bcg	2006	92	92	1	90	92	92	1440	1603	1867	1867	92	gov		R:	Estimate informed by reported data. Survey results ignored. Sample size 249 less than 300.  Fluctuation in reported administrative data is attributed to small birth cohort.  Estimate challenged by: D-	
