Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	1997	97	97	2		97	97			26552	26552	97	gov		R: AP	Legacy estimate.   GoC=R+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	1998	90	90	2		90	90			26328	26328	90	gov		R:	Estimate informed by reported data.    GoC=R+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	1999	97	97	1	93	97	97	26592	28697	24848	24848	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2000	97	97	2	97	97	97	27085	27816	27033	27033	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2001	97	97	2	97		97	26146	26973	26054	26054	97	admin		R:	Estimate informed by reported administrative data.    GoC=R+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2002	91	91	3	91		91	25299	27750	27684	27684	91	admin		R:	Estimate informed by reported administrative data.    GoC=R+ S+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2003	95	95	3	95	95	95	26695	28100	27118	27118	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2004	94	94	1	94	94	94	25423	27034	23865	23865	94	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2005	99	99	3	99	99	99	22220	22482	22880	22880	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2006	92	92	3	92	92	92	20902	22267	22944	22944	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2007	95	95	2	95	95	95	21496	22541	23072	23072	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2008	94	94	2	97	94	94	21815	22489	23348	23348	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
North Macedonia	Wed Sep 06 18:56:52 2023	mkd	bcg	2009	98	98	2	99	98	98	23270	23526	24081	24081	98	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 270 less than 300.   GoC=R+ D+	
