Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	1997	84	84	1		76	76			477185	477185	76	gov	84	W: AP	Estimate of 84 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	1998	79	79	1		78	78			491798	491798	78	gov		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	1999	78	78	1	64	84	84	254763	400235	513321	513321	84	gov		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2000	69	69	1	73	82	82	310156	410585	530039	530039	82	gov	69	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 69 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2001	75	75	1	81	68	68	376689	420548	548718	548718	88	interpolated		C:	Reported data calibrated to 2000 and 2005 levels.  Reported data excluded due to decline in reported coverage from 82 percent to 68 percent with increase to 94 percent.   Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2002	82	82	1	94	94	94	405954	430678	568014	568014	94	gov		C:	Reported data calibrated to 2000 and 2005 levels.    Estimate challenged by: D-R-S-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2003	74	74	1	76	87	87	375234	493883	588056	588056	87	gov		C:	Reported data calibrated to 2000 and 2005 levels.    Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2004	76	76	1	88	88	88	449184	510936	611217	611217	88	gov		C:	Reported data calibrated to 2000 and 2005 levels.    Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2005	83	83	1	95	95	95	500648	529351	633226	633226	95	gov	83	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 83 percent based on 2 survey(s).     Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2006	86	86	1	98	98	98	530837	540751	649255	649255	98	gov		C:	Reported data calibrated to 2005 and 2008 levels.    Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2007	86	86	1	97	97	97	546658	565311	666398	666398	97	gov		C:	Reported data calibrated to 2005 and 2008 levels.    Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2008	86	86	1	112	112	112	624394	559693	684421	684421	97	interpolated	86	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 86 percent based on 1 survey(s).   Reported data excluded because 112 percent greater than 100 percent. Reported data excluded due to an increase from 97 percent to 112 percent with decrease 81 percent.   Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2009	84	84	1	81	81	81	521897	643692	704747	704747	97	interpolated	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).   Reported data excluded due to decline in reported coverage from 112 percent to 81 percent with increase to 97 percent.  Decline in 2009 due to an increase the denominator issued by du Recensement General de la Population et de l Habitat in 2009.  Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2010	82	82	1	97	97	97	643814	666864	724487	724487	97	gov		C:	Reported data calibrated to 2009 and 2011 levels.    Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2011	84	84	1	100	100	100	691802	690872	742777	742777	100	gov	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).     Estimate challenged by: R-S-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2012	77	77	1	102	102	102	733741	716309	761774	761774	95	interpolated		W-I:	Estimate informed by interpolation between 2011 and 2013 levels.  Estimates based on survey results. Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2013	70	70	1	100	89	89	746135	745222	770850	770850	89	gov	70	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 70 percent based on 1 survey(s).     Estimate challenged by: D-R-S-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2014	73	73	1	95	84	84	726785	767481	787530	787530	89	extrapolated	73	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 73 percent based on 1 survey(s).   Expanded Programme of Immunization External Review, 2016 results ignored by working group.  Coverage by card is higher than cards seen and other inconsistencies such as coverage with final doses higher than earlier doses in the series. Also, EPI survey results inconsistent with MICS for the same cohort and previous surveys.Reported data excluded.  Programme reports data quality issues affecting both coverage denominator and numerator.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2015	78	78	1	104	98	98	821688	790094	804446	804446	89	extrapolated		C:	Reported data calibrated to 2014 and 2016 levels.  Reported data excluded.  Programme reports data quality issues affecting both coverage denominator and numerator.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2016	82	82	1	109	92	92	889392	813329	820266	820266	89	extrapolated	82	W: AP	Estimate of 82 percent assigned by working group.  Estimate is based on survey result. Reported data excluded.  Programme reports data quality issues affecting both coverage denominator and numerator. Official estimates based on January-February 2016 vaccination coverage survey for 2014 cohort, which has internal inconsistencies in the results.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2017	83	83	1	107	92	92	896770	836962	838648	838648	89	extrapolated	83	W: AP	Estimate of 83 percent assigned by working group.  Estimate is based on survey result. Reported data excluded.  Programme reports data quality issues affecting both coverage denominator and numerator. Official estimates based on January-February 2016 vaccination coverage survey for 2014 cohort, which has internal inconsistencies in the results.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2018	83	83	1	113	77	77	969745	861038	856296	856296	89	extrapolated		C:	Reported data calibrated to 2017 levels. Reported data excluded. .  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2019	83	83	1	109	83	83	971931	893597	872712	872712	89	extrapolated		C:	Reported data calibrated to 2017 levels. Reported data excluded. . Programme notes that official estimates are based on the results of the 2018 Demographic and Health Survey. Programme reports subnational vaccine stockouts for most antigens.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2020	78	78	1	104	83	83	948548	912229	891864	891864	89	extrapolated		W:	 Estimate exceptionally based on the difference between administrative coverage 2019 to 2020 applied to the 2019 WUENIC estimate. Reported data excluded.  Programme reports disruptions in performance related to insecurity and reductions in attendance to vaccination sessions related to the COVID-19 pandemic, especially in urban areas. Also issues with incomplete reporting linked to problems with connectivity. Programme reports a national and subnational level vaccine stockout of less than a month.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2021	83	83	1	103	103	103	969634	937630	912901	912901	89	extrapolated		C:	Reported data calibrated to 2017 levels. Reported data excluded because 103 percent greater than 100 percent. Reported data excluded due to an increase from 83 percent to 103 percent with decrease 84 percent.   Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	bcg	2022	83		1	105	84	84	1009542	963810	932317	932317	89	extrapolated		C:	Reported data calibrated to 2017 levels. Reported data excluded due to sudden change in coverage from 103 level to 84 percent.  Vaccination coverage survey conducted in 2022 for two districts in the capital city.  Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	1997	79	79	2						477185	477185	78	extrapolated	79	W: AP	Estimate of 79 percent assigned by working group. Legacy estimate.   GoC=S+	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	1998	73	73	1						491798	491798	78	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: S-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	1999	67	67	1						513321	513321	78	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: S-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2000	61	61	1	78	61	78	321935	410585	530039	530039	78	admin	61	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 61 percent based on 1 survey(s).    Fluctuating and inconsistent data suggest poor reporting.  Estimate challenged by: R-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2001	78	78	1	92	61	92	386451	420548	548718	548718	92	admin		C:	Reported data calibrated to 2000 and 2005 levels.   Fluctuating and inconsistent data suggest poor reporting.  Estimate challenged by: R-S-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2002	87	87	1	97	97	97	419867	430678	568014	568014	97	gov		C:	Reported data calibrated to 2000 and 2005 levels.    Estimate challenged by: D-R-S-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2003	91	91	1	98	98	98	433669	443740	588056	588056	98	gov		C:	Reported data calibrated to 2000 and 2005 levels.    Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2004	94	94	1	105	105	105	479860	454974	611217	611217	97	interpolated		C:	Reported data calibrated to 2000 and 2005 levels.  Reported data excluded because 105 percent greater than 100 percent.   Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2005	96	96	1	112	112	112	524883	468038	633226	633226	96	interpolated	87	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 87 percent based on 2 survey(s).  Reported data excluded because 112 percent greater than 100 percent.   Estimate challenged by: D-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2006	91	91	1	108	108	108	518200	479647	649255	649255	94	interpolated		C:	Reported data calibrated to 2005 and 2008 levels.  Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: D-R-	
Mali	Wed Sep 06 18:57:02 2023	mli	dtp1	2007	89	89	1	89	89	89	239048	267779	666398	666398	93	interpolated		C:	Reported data calibrated to 2005 and 2008 levels.  Reported data excluded due to decline in reported coverage from 108 percent to 89 percent with increase to 122 percent.   Estimate challenged by: D-R-	
