Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	1997	97	97	1						4977	4977	97	extrapolated		R: AP	Legacy estimate.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  GoC=No accepted empirical data	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	1998	97	97	1						4775	4775	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   Reported data may under-represent immunization due to incomplete reporting by private care providers.  GoC=No accepted empirical data	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	1999	97	97	1						4550	4550	97	extrapolated		R:	Estimate based on extrapolation from data reported by national government.   Reported data may under-represent immunization due to incomplete reporting by private care providers.  GoC=No accepted empirical data	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2000	97	97	1	91	97	97	3663	4010	4460	4460	97	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  Estimate challenged by: D-	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2001	98	98	1	87		87	3155	3640	4030	4030	87	admin		RMF:	DTP1 coverage estimated based on DTP3 coverage of 95.   Reported data may under-represent immunization due to incomplete reporting by private care providers.  Estimate challenged by: D-R-	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2002	95	95	1	90	95	95	3220	3566	3977	3977	95	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  Estimate challenged by: D-	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2003	96	96	1	72	96	96	2611	3620	4080	4080	96	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  Estimate challenged by: D-	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2004	92	92	1	92	92	92	2679	3527	3913	3913	92	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers. Declines in 2004-2008 may be attributable to the failure to recall apparent defaulters during the installation of new database systems.  Estimate challenged by: D-	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2005	94	94	2	94	94	94	3483	3687	3886	3886	94	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers. Declines in 2004-2008 may be attributable to the failure to recall apparent defaulters during the installation of new database systems.  GoC=R+ D+	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2006	85	85	2	85	85	85	3319	3908	3852	3852	85	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers. Declines in 2004-2008 may be attributable to the failure to recall apparent defaulters during the installation of new database systems.  GoC=R+ D+	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2007	84	84	2	84	84	84	3293	3920	3842	3842	84	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers. Declines in 2004-2008 may be attributable to the failure to recall apparent defaulters during the installation of new database systems.  GoC=R+ D+	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2008	88	88	2	88	88	88	3628	4096	4035	4035	88	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers. Declines in 2004-2008 may be attributable to the failure to recall apparent defaulters during the installation of new database systems.  GoC=R+ D+	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2009	91	91	2	91	91	91	3763	4118	4028	4028	91	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  GoC=R+ D+	
Malta	Wed Sep 06 18:57:21 2023	mlt	dtp1	2010	97	97	2	97	97	97	4055	4190	3941	3941	97	gov		R:	Estimate informed by reported data.  Reported data may under-represent immunization due to incomplete reporting by private care providers.  GoC=R+ D+	
