Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	1997	94	94	2		94	94			1059279	1059279	94	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	1998	95	95	2		95	95			1051400	1051400	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	1999	90	90	3	88	90	90	926397	1052274	1045789	1045789	90	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    GoC=R+ S+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2000	88	88	3	88	88	88	958259	1088091	1045990	1045990	88	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2001	75	75	1	70	75	75	961090	1175238	1058926	1058926	75	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2002	82	82	1	80	82	82	1063081	1323116	1071438	1071438	82	gov		R:	Estimate informed by reported data.  Myanmar Multiple Indicator Cluster Survey (2003) results ignored by working group.  Estimate for other vaccines based on reported data supported by survey.  Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2003	80	80	1	79	80	80	1065542	1349843	1053868	1053868	80	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2004	85	85	1	100	85	85	1176308	1377110	1032976	1032976	85	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2005	76	76	1	76	76	76	1072782	1404927	1016051	1016051	76	gov	84	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 84 percent based on 1 survey(s).    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2006	85	85	3	67	85	85	949816	1415711	1003930	1003930	85	gov	84	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 84 percent based on 1 survey(s).    GoC=R+ S+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2007	89	89	1	86	89	89	1246016	1445374	999522	999522	89	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2008	88	88	1	89	88	88	1307319	1474571	983686	983686	88	gov		R:	Estimate informed by reported data.  Myanmar Multiple Indicator Cluster Survey 2009 - 2010 results ignored by working group.  In addition to card and recall, vaccination information was collected from midwifes registries and midwifes participated in data collection. According to the MICS report, midwifes may have a tendency inadvertently to over report coverage.  Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2009	93	93	1	93	93	93	1387171	1487984	972718	972718	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2010	93	93	1	93	93	93	1401203	1504210	959728	959728	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2011	93	93	1	93	93	93	1411598	1525759	952059	952059	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2012	87	87	1	87	87	87	1391044	1602657	942751	942751	87	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2013	86	86	1	86	86	86	1289690	1494169	941290	941290	86	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2014	92	92	2	92	92	92	857356	928960	940644	940644	92	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).   Reported coverage levels for 2014 computed using target population data from preliminary 2014 census results.  GoC=Assigned by working group.  In spite of what appear to be inconsistent reported number of children vaccinated and target population suggesting problems with the recording and monitoring system and/or incomplete reporting, the results of the 2015-16 Demographic and Health Survey support reported coverage levels. However, there is concern that less than half of the survey results are derived from documented evidence.	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2015	94	94	2	94	94	94	873110	928612	948358	948358	94	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  In spite of what appear to be inconsistent reported number of children vaccinated and target population suggesting problems with the recording and monitoring system and/or incomplete reporting, the results of the 2015-16 Demographic and Health Survey support reported coverage levels. However, there is concern that less than half of the survey results are derived from documented evidence.	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2016	88	88	2	88	88	88	890995	1009793	952050	952050	88	gov		R:	Estimate informed by reported data.   GoC=Assigned by working group.  GoC revised for consistency with other vaccine doses.	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2017	91	91	2	91	91	91	899832	989358	948906	948906	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2018	90	90	2	101	90	90	899779	892904	942093	942093	90	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2019	91	91	2	91	91	91	893186	981223	937752	937752	91	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2020	87	87	2	87	87	87	827387	945757	928106	928106	87	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2021	48	48	2	48	48	48	463139	960539	920395	920395	48	gov		R:	Estimate informed by reported data.  WHO and UNICEF are aware of a EPI coverage evaluation survey that started in 2020 but was interrupted due to Covid-19. An independent assessment of reported coverage is still recommended. Routine immunization performance was low for all antigens due to disruptions caused by Covid-19 and instability.  GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	bcg	2022	79		2	79	79	79	738401	932056	912252	912252	79	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF are aware of an ongoing 2023 Demographic and Health Survey and await the final results. Reported data suggest partial recovery from prior year disruption to services.  GoC=R+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	1997	96	96	2						1059279	1059279	87	extrapolated		W: AP	Estimate of 96 percent assigned by working group. Legacy estimate.   GoC=S+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	1998	92	92	2						1051400	1051400	87	extrapolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	1999	87	87	2						1045789	1045789	87	extrapolated	92	R: AP	Estimate based on extrapolation from data reported by national government supported by survey. Survey evidence of 92 percent based on 1 survey(s).    GoC=S+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	2000	87	87	3	87	87	87	945566	1088091	1045990	1045990	87	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	2001	81	81	1	81	81	81	951768	1175238	1058926	1058926	81	gov		R:	Estimate informed by reported data.    Estimate challenged by: S-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	2002	81	81	1	81	81	81	1068782	1323116	1071438	1071438	81	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	2003	80	80	1	80	80	80	1075535	1349843	1053868	1053868	80	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Myanmar	Wed Sep 06 18:57:29 2023	mmr	dtp1	2004	86	86	1	100	86	86	1169236	1377110	1032976	1032976	86	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
