Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2006	98	98	2	98	98	98	7318	7447	8227	8227	98	gov		R:	Estimate informed by reported data.   Montenegro was admitted to the UN and became a WHO member state in June 2006.  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2007	98	98	2	98	98	98	7522	7658	8502	8502	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2008	98	98	2	98	98	98	7997	8156	8878	8878	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2009	95	95	2	95	95	95	7870	8287	9133	9133	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2010	95	95	2	95	95	95	7619	7996	7857	7857	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2011	97	97	2	97	97	97	7754	7982	7538	7538	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2012	95	95	2	95	95	95	7378	7795	7785	7785	95	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 255 less than 300.   GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2013	93	93	2	93	93	93	7295	7855	7821	7821	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2014	91	91	2	91	91	91	7016	7700	7863	7863	91	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2015	88	88	2	88	88	88	6977	7889	7725	7725	88	gov		R:	Estimate informed by reported data.   Programme reports a one month stockout at the national level.  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2016	85	85	2	85	76	85	6487	7668	7848	7848	85	admin		R:	Estimate informed by reported administrative data.  .  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2017	83	83	2	83	83	83	6366	7709	7712	7712	83	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2018	93	93	2	93	93	93	6761	7288	7529	7529	93	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2019	80	80	1						7429	7429	80	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2020	67	67	2	67	67	67	4600	6856	7114	7114	67	gov		R:	Estimate informed by reported data.   Unexplained decline in BCG coverage.  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2021	76	76	2	76	76	76	5240	6867	6965	6965	76	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	bcg	2022	86		2	86	86	86	5939	6942	6859	6859	86	gov		R:	Estimate informed by reported data.   No nationally representative household survey assessment of vaccination coverage within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Programme reports one-half month vaccine stockout at national and subnational levels.  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2006	95	95	1	99	95	95	6955	7009	8227	8227	95	gov		R:	Estimate informed by reported data.   Montenegro was admitted to the UN and became a WHO member state in June 2006.  Estimate challenged by: D-	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2007	98	98	1	99	98	98	7015	7095	8502	8502	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2008	98	98	1	99	98	98	7304	7366	8878	8878	98	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2009	96	96	2	96	96	96	7881	8250	9133	9133	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2010	97	97	2	97	97	97	8041	8293	7857	7857	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2011	98	98	2	98	98	98	7826	7982	7538	7538	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2012	98	98	2	98	98	98	7608	7795	7785	7785	98	gov		R:	Estimate informed by reported data.  Survey results ignored. Sample size 255 less than 300.   GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2013	98	98	2	98	98	98	7696	7855	7821	7821	98	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2014	97	97	2	97	97	97	7456	7700	7863	7863	97	gov		R:	Estimate informed by reported data.   Programme reports two months stockout of DTP containing vaccine at national level.  GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2015	96	96	2	96	96	96	7533	7889	7725	7725	96	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2016	97	97	2	97	97	97	7404	7668	7848	7848	97	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2017	95	95	2	95	95	95	7358	7709	7712	7712	95	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2018	94	94	2	94	94	94	7153	7574	7529	7529	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2019	94	94	1						7429	7429	94	interpolated		R:	Estimate informed by interpolation between reported data.    GoC=No accepted empirical data	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2020	94	94	2	94	94	94	6830	7239	7114	7114	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2021	94	94	2	94	94	94	6630	7088	6965	6965	94	gov		R:	Estimate informed by reported data.    GoC=R+ D+	
Montenegro	Wed Sep 06 18:57:37 2023	mne	dtp1	2022	93		2	93	93	93	6635	7128	6859	6859	93	gov		R:	Estimate informed by reported data.   No nationally representative household survey assessment of vaccination coverage within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage.  GoC=R+ D+	
