Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	1997	96	96	2	96	96	96			52100	52100	96	gov		R: AP	Legacy estimate.   GoC=R+ S+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	1998	95	95	2	95	95	95			50811	50811	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	1999	97	97	3	97	97	97	49751	51094	50507	50507	97	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2000	97	97	3	97	97	97	49755	51113	50137	50137	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2001	98	98	3	98	98	98	47478	48449	49378	49378	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2002	98	98	3	98	98	98	44898	45687	48403	48403	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2003	98	98	3	98	98	98	44072	44744	47042	47042	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2004	98	98	3	98	98	98	43406	44461	46942	46942	98	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2005	99	99	3	99	99	99	44613	45171	47847	47847	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Mongolia	Wed Sep 06 18:57:45 2023	mng	bcg	2006	98	98	3	98	98	98	46531	47377	51314	51314	98	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
