Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	1997	80	80	1		84	84			735663	735663	84	gov		W: AP	Estimate of 80 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	1998	81	81	1		99	99			749322	749322	99	gov		W-I:	Estimate informed by interpolation between 1997 and 2002 levels.  Reported data varies widely.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	1999	83	83	1	100	100	100	675734	673626	764274	764274	100	gov		W-I:	Estimate informed by interpolation between 1997 and 2002 levels.  Reported data varies widely.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2000	84	84	1	106	106	106	730383	689694	778507	778507	99	interpolated		W-I:	Estimate informed by interpolation between 1997 and 2002 levels.  Reported data varies widely. Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2001	86	86	1	97		97	685058	706246	791931	791931	97	admin		W-I:	Estimate informed by interpolation between 1997 and 2002 levels.  Reported data varies widely.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2002	87	87	1	106		106	769836	723301	805680	805680	94	interpolated		W: AP	Estimate of 87 percent assigned by working group.  Estimate based on survey results. Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2003	90	90	3	110	90	90	815461	743104	824300	824300	90	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    GoC=R+ S+ D+	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2004	90	90	1	116	90	90	870425	750033	834319	834319	90	gov		W-I:	Estimate informed by interpolation between 2003 and 2007 levels.  Reported data vary widely.   Estimate challenged by: D-R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2005	90	90	1	107	90	90	833198	777458	847395	847395	90	gov		W-I:	Estimate informed by interpolation between 2003 and 2007 levels.  Reported data vary widely.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2006	90	90	1	119	98	98	930010	784666	860056	860056	98	gov		W-I:	Estimate informed by interpolation between 2003 and 2007 levels.  Reported data vary widely.   Estimate challenged by: D-R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2007	90	90	3	89	90	90	824968	923882	875783	875783	90	gov	88	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 88 percent based on 1 survey(s).    GoC=R+ S+ D+	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2008	90	90	1	113	90	90	943810	834162	910584	910584	90	gov		W-I:	Estimate informed by interpolation between 2007 and 2010 levels.  Reported data vary widely.   Estimate challenged by: D-R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2009	90	90	1	110	90	90	937732	854000	942116	942116	90	gov		W-I:	Estimate informed by interpolation between 2007 and 2010 levels.  Reported data vary widely.   Estimate challenged by: R-	
Mozambique	Wed Sep 06 18:57:53 2023	moz	bcg	2010	90	90	1	108	90	90	1043222	963900	970243	970243	90	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).   National official estimates are based on projection from 2008 MICS survey results.  GoC=Assigned by working group.  Consistency with neighbouring years.	
