Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	1997	78	78	1		69	69			97064	97064	69	gov		W: AP	Estimate of 78 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	1998	77	77	2						98214	98214	54	interpolated		C:	Reported data calibrated to 1997 and 1999 levels.    GoC=S+	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	1999	75	75	1		38	38		107701	100276	100276	38	gov	75	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 75 percent based on 1 survey(s).     Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2000	78	78	1		48	48			101919	101919	48	gov		C:	Reported data calibrated to 1999 and 2003 levels.    Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2001	95	95	1	70	70	70	74943	106768	103986	103986	70	gov		C:	Reported data calibrated to 1999 and 2003 levels.    Estimate challenged by: D-R-S-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2002	99	99	1	98	98	98	107636	109544	104749	104749	98	gov		C:	Reported data calibrated to 1999 and 2003 levels.   Estimate based on reported confirmed by survey.  Estimate challenged by: D-R-S-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2003	96	96	1	84	84	84	94346	112842	106226	106226	84	gov	96	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 96 percent based on 1 survey(s).     Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2004	94	94	1	86	86	86	99143	115550	108734	108734	86	gov		C:	Reported data calibrated to 2003 and 2006 levels.    Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2005	91	91	1	87	87	87	103332	118323	111593	111593	87	gov		C:	Reported data calibrated to 2003 and 2006 levels.    Estimate challenged by: R-	
Mauritania	Wed Sep 06 18:58:22 2023	mrt	bcg	2006	86	86	3	90	86	86	103630	121163	114673	114673	86	gov	86	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 86 percent based on 1 survey(s).    GoC=R+ S+ D+	
