Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	1997	87	87	2		87	87			20652	20652	87	gov		R: AP	Legacy estimate.   GoC=R+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	1998	87	87	2		87	87			19567	19567	87	gov		R:	Estimate informed by reported data.   GoC=R+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	1999	86	86	2	87	86	86	17583	20313	20935	20935	86	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2000	88	88	2	88	88	88	17703	20207	20485	20485	88	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2001	89	89	2	89	89	89	17504	19667	20047	20047	89	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2002	87	87	2	88	87	87			20340	20340	87	gov		R:	Estimate informed by reported data.   GoC=R+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2003	99	99	2	92	99	99	17824	19345	19847	19847	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2004	99	99	1	90	99	99	17329	18943	19807	19807	99	gov		R:	Estimate informed by reported data.  National estimates are adjusted to include immunizations occurring in the private sector.  Estimate challenged by: D-	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2005	99	99	1	90	100	100	17039	18829	19220	19220	100	gov		R:	Estimate informed by reported data.  National estimates are adjusted to include immunizations occurring in the private sector.  Estimate challenged by: D-	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2006	97	97	1	89	97	97	15564	17540	18025	18025	97	gov		R:	Estimate informed by reported data.  National estimates are adjusted to include immunizations occurring in the private sector.  Estimate challenged by: D-	
Mauritius	Wed Sep 06 18:58:33 2023	mus	bcg	2007	98	98	1	90	98	98	15120	16800	17544	17544	98	gov		R:	Estimate informed by reported data.  National estimates are adjusted to include immunizations occurring in the private sector.  Estimate challenged by: D-	
