Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	1997	99	99	1		100	100			485740	485740	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	1998	99	99	1		100	100			496726	496726	100	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	1999	87	87	1	83	87	87	333755	400896	505525	505525	87	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2000	83	83	3	83	83	83	422863	509248	510145	510145	83	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2001	93	93	3	93	93	93	533654	576745	520411	520411	93	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2002	78	78	1	78	78	78	457607	589903	532093	532093	78	gov		R:	Estimate informed by reported data.  .  Estimate challenged by: S-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2003	91	91	3	91	91	91	543542	599073	545608	545608	91	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    GoC=R+ S+ D+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2004	97	97	1	97	97	97	605848	621445	558882	558882	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2005	99	99	1	104	104	104	659304	633252	573485	573485	99	interpolated	96	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).  Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2006	99	99	3	91	100	100	625225	686374	582845	582845	100	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2007	95	95	1	95	95	95	675738	709495	589088	589088	95	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2008	97	97	1	97	97	97	677158	695496	593115	593115	97	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2009	95	95	1	95	95	95	683544	722861	598085	598085	95	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2010	97	97	1	110	97	97	694391	629928	601115	601115	97	gov		R:	Estimate informed by reported data.   National official estimates are based on preliminary results from DHS 2010.  Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2011	99	99	3	99	99	99	647990	655805	604469	604469	99	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2012	99	99	1	99	99	99	673492	655231	604738	604738	99	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2013	96	96	1	97	96	96	648515	668801	606818	606818	96	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 2 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2014	97	97	1	97	97	97	665086	687604	606439	606439	97	gov	98	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2015	90	90	1	90	90	90	642235	709680	605977	605977	90	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2016	86	86	1	86	86	86	621555	726165	606249	606249	86	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2017	89	89	1	89	89	89	660664	743524	614279	614279	89	gov	92	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 92 percent based on 1 survey(s).   Programme reports vaccine supply disruptions at district level.  Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2018	92	92	1	92	92	92	704554	764949	623309	623309	92	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2019	91	91	1	91	91	91	700067	767933	634083	634083	91	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2020	87	87	1	87	87	87	689700	796814	644116	644116	87	gov		R:	Estimate informed by reported data.  Programme reports service delivery disruptions during April to June 2020 due to COVID-19.  Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2021	89	89	1	89	89	89	663656	746851	653703	653703	89	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	bcg	2022	84		1	84	84	84	643939	766568	665678	665678	84	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Malawi	Wed Sep 06 18:58:40 2023	mwi	dtp1	1997	98	98	2						485740	485740	98	extrapolated		R: AP	Legacy estimate.   GoC=S+	
Malawi	Wed Sep 06 18:58:40 2023	mwi	dtp1	1998	98	98	2						496726	496726	98	extrapolated		RMF	Estimate based on DTP3 coverage of 96.    GoC=S+	
