Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	1997	98	98	2	97	98	98			548238	548238	98	gov		R: AP	Legacy estimate.   GoC=R+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	1998	98	98	2	98	98	98			542296	542296	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	1999	99	99	1	99	99	99	612616	529860	537935	537935	99	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2000	99	99	2	98	99	99	522292	522668	526694	526694	99	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2001	98	98	2	99	98	98	460735	518100	504380	504380	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2002	98	98	2	99	98	98		496769	482441	482441	98	gov		R:	Estimate informed by reported data.   GoC=R+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2003	99	99	2	99	99	99		496769	475890	475890	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2004	99	99	2	99	99	99		473240	463480	463480	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2005	98	98	2	98	98	98	403091	410263	456802	456802	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
Malaysia	Wed Sep 06 18:58:49 2023	mys	bcg	2006	98	98	2	98	98	98	403091	410263	456227	456227	98	gov		R:	Estimate informed by reported data.   GoC=R+ D+	
