Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	1997	65	65	1		65	65			55143	55143	65	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	1998	85	85	2		85	85			56446	56446	85	gov		R:	Estimate informed by reported data.    GoC=R+ S+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	1999	80	80	2		80	80		68564	57293	57293	80	gov	90	R: AP	 Survey confirms high levels of coverage.   GoC=R+ S+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2000	77	77	1	77	77	77	4	49838	57037	57037	77	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2001	69	69	1	68	69	69	52662	77114	56361	56361	69	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2002	81	81	1	107	107	107	60539	56450	56077	56077	81	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded because 107 percent greater than 100 percent. Reported data excluded due to an increase from 69 percent to 107 percent with decrease 92 percent.   Estimate challenged by: D-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2003	92	92	3	92	92	92	53070	57803	55982	55982	92	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2004	94	94	3	71	71	71	56534	79074	56374	56374	94	interpolated		R:	Estimate informed by interpolation between reported data.  Reported data excluded due to decline in reported coverage from 92 percent to 71 percent with increase to 95 percent.   GoC=R+ S+ D+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2005	95	95	2	95	95	95			57065	57065	95	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).    GoC=R+ S+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2006	88	88	1	86	88	88	58962	68250	57754	57754	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2007	95	95	3	75	95	95	52772	70455	59063	59063	95	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2008	88	88	1	88	88	88	62554	71344	60753	60753	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2009	85	85	1	85	85	85	63862	75228	62421	62421	85	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-S-	
Namibia	Wed Sep 06 18:58:56 2023	nam	bcg	2010	88	88	1	87	88	88	63263	73125	64014	64014	88	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
