Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	1997	48	48	1	44	44	44			563612	563612	44	gov	47	W: AP	Estimate of 48 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	1998	48	48	1	42	42	42			579983	579983	42	gov		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Fluctuating and inconsistent data suggest poor reporting.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	1999	47	47	1	41	41	41	183561	507174	595241	595241	41	gov	47	W: AP	Estimate of 47 percent assigned by working group.  Estimate is based on survey results   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2000	50	50	1	35	35	35	186954	526225	612412	612412	35	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2001	53	53	1	50	50	50	268330	546062	628644	628644	50	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2002	56	56	1	52	52	52	292774	627059	646177	646177	52	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2003	58	58	1	64	64	64	384231	597966	664234	664234	64	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2004	61	61	1	72	72	72	442693	616498	682918	682918	72	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2005	64	64	1	93	93	93	589893	633225	701952	701952	93	gov	64	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 64 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2006	69	69	1	108	108	108	669329	619228	720105	720105	88	interpolated		C:	Reported data calibrated to 2005 and 2008 levels.  Reported data excluded because 108 percent greater than 100 percent. Reported data excluded due to an increase from 93 percent to 108 percent with decrease 83 percent.   Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2007	73	73	1	83	83	83	679513	816146	740834	740834	83	gov		C:	Reported data calibrated to 2005 and 2008 levels.   The apparent decline in reported data between 2006 and 2007 is the result of an increased estimate of the size of the target population.  Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2008	78	78	3	78	78	78	659258	848997	762405	762405	78	gov	80	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 80 percent based on 1 survey(s).   Decline in coverage due to stockout.  GoC=R+ S+ D+	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2009	86	86	1	96	96	96	831238	867248	784472	784472	96	gov	86	W: AP	Estimate of 86 percent assigned by working group.  Estimate based on survey results to maintain consistency with other vaccines.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2010	81	81	1	95	95	95	852755	896930	808092	808092	95	gov		C:	Reported data calibrated to 2009 and 2012 levels.    Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2011	53	53	1	71	71	71	657230	925507	829876	829876	71	gov		C:	Reported data calibrated to 2009 and 2012 levels.  Demographic and Health / Multiple Indicator Survey of Niger EDSN-MICS-IV 2012 results ignored by working group.  Survey results may not reflect three months stockout. Decline in coverage reflects a 3-month vaccine stockout.  Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2012	85	85	1	107	107	107	939513	948465	850851	850851	107	gov	85	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 85 percent based on 1 survey(s).    Rise in coverage reflects recovery from vaccine shortage.  Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2013	43	43	1	59	59	59	577866	982242	879453	879453	59	gov		C:	Reported data calibrated to 2012 and 2016 levels.   Programme reports a five month stockout at national level.  Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2014	87	87	1	98	98	98	997350	1020109	905960	905960	98	gov		C:	Reported data calibrated to 2012 and 2016 levels.   Recovery from stockout during the prior year.  Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2015	94	94	1	99	99	99	1049155	1060218	937161	937161	99	gov		C:	Reported data calibrated to 2012 and 2016 levels.    Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2016	91	91	1	102	91	91	1121093	1102697	973456	973456	91	gov	91	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 91 percent based on 1 survey(s).    Estimate challenged by: D-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2017	92	92	1	99	92	92	1137776	1146505	1008227	1008227	92	gov		R:	Estimate informed by reported data.   Estimate challenged by: D-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2018	87	87	1	111	87	87	1078056	974235	1041983	1041983	87	gov		R:	Estimate informed by reported data. National Survey on Fertility and Mortality of Children Under Five in Niger 2021 results ignored by working group.  Survey results inconsistent with other data. Programme believes that the current denominator underestimates the target population. Apparent increase in the administrative coverage is an artifact of a 12 percent decrease in estimated surviving infants between 2017 and 2018.  Estimate challenged by: D-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2019	70	70	1	88	70	70	887016	1009436	1075960	1075960	70	gov		R:	Estimate informed by reported data. National Survey on Fertility and Mortality of Children Under Five in Niger 2021 results ignored by working group.  Survey results inconsistent with other data. Programme reports subnational vaccine stockouts for all antigens in the infant immunization series. Programme reports 1.5 month vaccine stockout at national level..  Estimate challenged by: D-	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2020	94	94	2	114	94	94	1105050	967726	1109922	1109922	94	gov		R:	Estimate informed by reported data.  Likely recovery from previous year stockout.  GoC=R+ D+	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2021	95	95	2	114	95	95	1135439	996162	1144371	1144371	95	gov		R:	Estimate informed by reported data.  Programme reports a vaccine stockout of less than one month duration at national and subnational levels.  GoC=R+ D+	
Niger	Wed Sep 06 18:59:06 2023	ner	bcg	2022	95		2	115	95	95	1183355	1026394	1180654	1180654	95	gov		R:	Estimate informed by reported data.  No nationally representative household survey within the last 5 years. WHO and UNICEF recommend a high-quality survey to confirm reported levels of coverage. Programme reports a one month vaccine stockout at national and subnational levels.  GoC=R+ D+	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	1997	45	45	2						563612	563612	35	extrapolated	45	W: AP	Estimate of 45 percent assigned by working group. Legacy estimate.   GoC=S+	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	1998	44	44	2						579983	579983	35	extrapolated		W-I:	Estimate informed by interpolation between 1997 and 1999 levels.  Fluctuating and inconsistent data suggest poor reporting.   GoC=S+	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	1999	43	43	2						595241	595241	35	extrapolated	43	W: AP	Estimate of 43 percent assigned by working group.  Estimate is based on survey results   GoC=S+	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2000	46	46	1	35	35	35	187529	526225	612412	612412	35	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2001	48	48	1	50	50	50	272274	546062	628644	628644	50	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2002	51	51	1	40	40	40	227499	549931	646177	646177	40	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2003	53	53	1	76	76	76	396089	524370	664234	664234	76	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2004	56	56	1	75	75	75	406335	540622	682918	682918	75	gov		W-I:	Estimate informed by interpolation between 1999 and 2005 levels.  Number of children vaccinated and estimate of target population varies widely since 2000.   Estimate challenged by: R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2005	58	58	1	97	97	97	539956	557396	701952	701952	97	gov	58	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 58 percent based on 1 survey(s).     Estimate challenged by: D-R-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2006	63	63	1	114	114	114	626382	551724	720105	720105	92	interpolated		C:	Reported data calibrated to 2005 and 2007 levels.  Reported data excluded because 114 percent greater than 100 percent. Reported data excluded due to an increase from 97 percent to 114 percent with decrease 87 percent.   Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2007	68	68	1	87	87	87	653199	750041	740834	740834	87	gov	68	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 68 percent based on 1 survey(s).    The apparent decline in reported data between 2006 and 2007 is the result of an increased estimate of the size of the target population.  Estimate challenged by: D-R-S-	
Niger	Wed Sep 06 18:59:06 2023	ner	dtp1	2008	76	76	1	94	94	94	732220	780182	762405	762405	94	gov	76	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 76 percent based on 1 survey(s).     Estimate challenged by: D-R-	
