Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	1997	29	29	1		29	29			4909645	4909645	29	gov		R: AP	Legacy estimate.   Estimate challenged by: S-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	1998	49	49	1		27	27			5001845	5001845	27	gov	49	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 49 percent based on 2 survey(s).     Estimate challenged by: R-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	1999	46	46	2						5177035	5177035	31	interpolated		W-I:	Estimate informed by interpolation between 1998 and 2002 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=S+	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2000	44	44	1	34	34	34	1751410	5149691	5344502	5344502	34	gov		W-I:	Estimate informed by interpolation between 1998 and 2002 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2001	41	41	2						5495767	5495767	39	interpolated		W-I:	Estimate informed by interpolation between 1998 and 2002 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=S+	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2002	38	38	1				771115	5054374	5645138	5645138	45	interpolated	39	W: AP	Estimate of 38 percent assigned by working group.  Estimates based on survey results. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2003	42	42	2						5779349	5779349	50	interpolated		W-I:	Estimate informed by interpolation between 2002 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   GoC=S+	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2004	45	45	1		55	55			5901685	5901685	55	gov		W-I:	Estimate informed by interpolation between 2002 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: R-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2005	49	49	1	49		49	2601477	5300735	6053810	6053810	49	admin		W-I:	Estimate informed by interpolation between 2002 and 2006 levels.  Fluctuation in reported data suggest poor quality administrative recording and reporting. Nigeria National Immunization Coverage Survey (2006) results ignored by working group.  Survey results not consistent with comparable survey data.  Estimate challenged by: R-	
Nigeria	Wed Sep 06 18:59:21 2023	nga	bcg	2006	52	52	1	44	42	42	2382543	5373995	6191393	6191393	42	gov	52	W: AP	Estimate of 52 percent assigned by working group.  Estimates based on survey results. Fluctuations in reported data suggest poor quality administrative recording and reporting.   Estimate challenged by: D-R-	
