Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	1997	95	95	1	106	106	106			146684	146684	91	extrapolated	95	W: AP	Estimate of 95 percent assigned by working group. Legacy estimate. Reported data excluded because 106 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	1998	92	92	1	91	91	91			145038	145038	91	gov		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	1999	99	99	1	100	100	100			143461	143461	100	gov		C:	Reported data calibrated to 1997 and 2000 levels.    Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2000	96	96	1	104	104	104	166552	172706	142026	142026	99	interpolated	96	W: AP	Estimate of 96 percent assigned by working group.  Nationally reported estimates are based on 1985 census and likely overestimate true coverage. Reported data excluded because 104 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2001	97	97	1	98	98	98	157474	172706	140800	140800	98	gov		C:	Reported data calibrated to 2000 and 2002 levels.    Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2002	93	93	2	93	93	93			139813	139813	93	gov		R: AP	 Estimates since 2002 are based on national estimates using revised population projections   GoC=R+ S+	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2003	94	94	1	94	94	94	156535	166855	139008	139008	94	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2004	88	88	1	88	88	88	148160	168849	138324	138324	88	gov		R:	Estimate informed by reported data.  .  Estimate challenged by: D-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2005	88	88	1	102	102	102	152086	161882	137901	137901	88	interpolated	98	R: AP	Estimate informed by interpolation between reported data supported by survey. Survey evidence of 98 percent based on 1 survey(s).  Reported data excluded because 102 percent greater than 100 percent.   Estimate challenged by: D-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2006	98	98	1	101	101	101	150443	149709	138352	138352	89	interpolated		W: AP	Estimate of 98 percent assigned by working group.  Survey confirms high levels of coverage. Reported data excluded because 101 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2007	98	98	1	112	112	112	152221	136159	138991	138991	89	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 112 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2008	99	99	1	110	110	110	153744	136551	139750	139750	90	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 110 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2009	99	99	1	109	109	109	149781	138144	140646	140646	90	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 109 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2010	99	99	1	115	115	115	155129	134896	141517	141517	91	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 115 percent greater than 100 percent.  Preliminary results from the 2011-12 ENDESA survey support coverage greater than 90 percent.  Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2011	99	99	1	118	118	118	164103	139122	142265	142265	91	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 118 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2012	99	99	1	118	118	118	163725	138678	142943	142943	92	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 118 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2013	99	99	1	115	114	114	160522	140146	143424	143424	92	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 114 percent greater than 100 percent.   Estimate challenged by: D-R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2014	99	99	1	116	116	116	159831	137631	143745	143745	93	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 116 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2015	99	99	1	119	119	119	160783	135653	143872	143872	93	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 119 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2016	99	99	1	116	116	116	155380	134238	143755	143755	94	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 116 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2017	99	99	1	112	112	112	150276	133801	143399	143399	94	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 112 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2018	99	99	1	103	103	103	137627	133801	142870	142870	95	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 103 percent greater than 100 percent.   Estimate challenged by: R-	
Nicaragua	Wed Sep 06 18:59:54 2023	nic	bcg	2019	99	99	1	108	108	108	141492	130925	142181	142181	95	interpolated		C:	Reported data calibrated to 2006 levels. Reported data excluded because 108 percent greater than 100 percent.   Estimate challenged by: R-	
