Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	1997	99	99	1		100	100			45	45	100	gov		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.  Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	1998	99	99	1		100	100			42	42	100	gov		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	1999	99	99	1	100	100	100	58	50	40	40	100	gov		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2000	99	99	1	100	100	100	30	30	38	38	100	gov		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2001	99	99	1	100		100	35	35	36	36	100	admin		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2002	99	99	1	100	100	100	30	30	35	35	100	gov		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2003	99	99	1	100		100	30	30	35	35	100	admin		C:	Reported data calibrated to 1997 and 2004 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-R-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2004	96	96	1	96	96	96	23	24	36	36	96	gov		R: AP	 Estimate is based on reported data. .  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2005	97	97	2	100	97	97	35	35	36	36	97	gov		R:	Estimate informed by reported data. .  GoC=R+ D+	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2006	99	99	1	100	100	100	32	32	36	36	100	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2007	99	99	1	92	99	99	23	25	35	35	99	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2008	99	99	1	100	100	100	28	28	35	35	100	gov		R:	Estimate informed by reported data. .  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2009	99	99	1	100	100	100	28	28	34	34	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2010	99	99	1	100	100	100	20	20	33	33	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2011	99	99	1	100	100	100	25	25	31	31	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2012	99	99	1	100	100	100	25	25	30	30	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2013	99	99	1	100	100	100	24	24	29	29	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2014	99	99	1						28	28	100	interpolated		R:	Estimate informed by interpolation between reported data.  Fluctuation in reported data is attributed to small birth cohort..  GoC=No accepted empirical data	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2015	99	99	2	96	100	100	27	28	27	27	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  GoC=R+ D+	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2016	92	92	2	92	92	92	24	26	26	26	92	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  GoC=R+ D+	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2017	99	99	1	84	100	100	16	19	25	25	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2018	99	99	1	100	100	100	13	13	25	25	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2019	99	99	1	6	100	100	1	16	25	25	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2020	94	94	1						27	27	94	interpolated		R:	Estimate informed by interpolation between reported data.  Fluctuation in reported data is attributed to small birth cohort..  GoC=No accepted empirical data	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2021	88	88	1	88	88	88	15	17	27	27	88	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	bcg	2022	99		1	100	100	100	15	15	27	27	100	gov		R:	Estimate informed by reported data. Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-	
Niue	Wed Sep 06 19:00:07 2023	niu	dtp1	1997	99	99	1						45	45	100	extrapolated		W: AP	Estimate of 99 percent assigned by working group. Legacy estimate.  Fluctuation in reported data is attributed to small birth cohort..  GoC=No accepted empirical data	
Niue	Wed Sep 06 19:00:07 2023	niu	dtp1	1998	99	99	1						42	42	100	extrapolated		C:	Reported data calibrated to 1997 and 2000 levels.   Fluctuation in reported data is attributed to small birth cohort..  GoC=No accepted empirical data	
Niue	Wed Sep 06 19:00:07 2023	niu	dtp1	1999	99	99	1						40	40	100	extrapolated		RMF:	DTP1 coverage estimated based on DTP3 coverage of 100.   Fluctuation in reported data is attributed to small birth cohort..  GoC=No accepted empirical data	
Niue	Wed Sep 06 19:00:07 2023	niu	dtp1	2000	99	99	1	100	100	100	30	30	38	38	100	gov		W: AP	Estimate of 99 percent assigned by working group.  Estimate follows nationally reported data.  Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: D-R-	
Niue	Wed Sep 06 19:00:07 2023	niu	dtp1	2001	99	99	1	100		100	35	35	36	36	100	admin		C:	Reported data calibrated to 2000 and 2005 levels.   Fluctuation in reported data is attributed to small birth cohort..  Estimate challenged by: R-	
