Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	1997	99	99	1						193709	193709				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	1998	99	99	1						199171	199171				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	1999	99	99	1						200527	200527				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2000	99	99	1					200000	205284	205284				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2001	99	99	1						201175	201175				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2002	99	99	1						199824	199824				RMF	Estimate based on DTP3 coverage of 97.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2003	99	99	1						197455	197455				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2004	99	99	1						191627	191627				RMF	Estimate based on DTP3 coverage of 98.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2005	98	98	1						186278	186278				RMF	Estimate based on DTP3 coverage of 96.    GoC=No accepted empirical data	
Netherlands (Kingdom of the)	Wed Sep 06 19:00:15 2023	nld	dtp1	2006	98	98	1						183894	183894				RMF	Estimate based on DTP3 coverage of 96.    GoC=No accepted empirical data	
