Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	1997	99	99	2		99	99			59704	59704	99	gov		R: AP	Legacy estimate.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	1998	99	99	2		99	99			58587	58587	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	1999	99	99	2		99	99			59105	59105	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2000	99	99	2		99	99			59197	59197	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2001	99	99	2		99	99			56706	56706	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2002	99	99	2		99	99		55000	55360	55360	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2003	99	99	2		99	99			56297	56297	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2004	99	99	2		99	99			56737	56737	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2005	99	99	2		99	99			56626	56626	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2006	99	99	2		99	99			58118	58118	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2007	99	99	2		99	99			58081	58081	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2008	99	99	2		99	99			59833	59833	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2009	99	99	2		99	99			61092	61092	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2010	99	99	2	99	99	99		62254	60599	60599	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2011	99	99	2	99	99	99		63683	59658	59658	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2012	99	99	2	100	100	100		63382	59547	59547	100	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2013	99	99	2	99	99	99		62151	58450	58450	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2014	99	99	2	99	99	99		62060	58540	58540	99	gov		R:	Estimate informed by reported data.   GoC=R+	
Norway	Wed Sep 06 19:00:22 2023	nor	dtp1	2015	99	99	2	100	100	100		60450	58582	58582	100	gov		R:	Estimate informed by reported data.   GoC=R+	
