Country	ProductionDate	ISOCountryCode	Vaccine	Year	WUENIC	WUENICPreviousRevision	GradeOfConfidence	AdministrativeCoverage	GovernmentEstimate	ReportedCoverage	ChildrenVaccinated	ChildrenInTarget	BirthsUNPD	SurvivingInfantsUNPD	ReportedTimeSeries	ReportedTimeSeriesSource	SurveyInformation	Rule	Comment	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	1997	86	86	1		96	96			772556	772556	96	gov		W: AP	Estimate of 86 percent assigned by working group. Legacy estimate.   Estimate challenged by: R-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	1998	81	81	1		86	86			767905	767905	86	gov		C:	Reported data calibrated to 1997 and 1999 levels.    Estimate challenged by: R-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	1999	93	93	3	93	93	93	634836	680498	759764	759764	93	gov	87	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 87 percent based on 1 survey(s).    GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2000	84	84	1	97	97	97	678263	698824	754096	754096	97	gov	84	S: AP	Survey evidence does not support reported data. Estimate based on survey results. Survey evidence of 84 percent based on 1 survey(s).     Estimate challenged by: R-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2001	84	84	3	95	84	84	678565	717664	738862	738862	84	gov		R: AP	 Estimate is based on reported data.   GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2002	85	85	1	94	85	85	693007	737032	723810	723810	85	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2003	91	91	1	97	91	91	734365	756943	718536	718536	91	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2004	85	85	1	96	85	85	701853	728858	706746	706746	85	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2005	87	87	1	92	87	87	679584	735339	687259	687259	87	gov	93	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 93 percent based on 1 survey(s).    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2006	93	93	1	96	93	93	713468	742164	665728	665728	93	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2007	89	89	1	91	89	89	676864	747567	649628	649628	89	gov		R:	Estimate informed by reported data.    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2008	87	87	1	87	87	87	657307	751261	636509	636509	87	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).    Estimate challenged by: D-	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2009	94	94	3	85	94	94	641805	754782	624997	624997	94	gov		R:	Estimate informed by reported data.   Nationally reported data based on the results of a 2009 survey.  GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2010	94	94	3	94	94	94	613032	648855	616815	616815	94	gov	96	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 96 percent based on 1 survey(s).   DQSA conducted in 7 priority districts during May-June 2010 identified some data recording problems at health facility level including inconsistencies between tally sheets, registers and HMIS.  GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2011	97	97	3	97	97	97	637969	655777	613876	613876	97	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Coverage reported by the government is based on the Nepal DHS 2011.  GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2012	96	96	3	96	96	96	632422	659016	614607	614607	96	gov	97	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 97 percent based on 1 survey(s).    GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2013	97	97	3	99	97	97	623661	630249	613309	613309	97	gov		R:	Estimate informed by reported data.    GoC=R+ S+ D+	
Nepal	Wed Sep 06 19:00:30 2023	npl	bcg	2014	99	99	3	99	99	99	621911	628824	613674	613674	99	gov	95	R: AP	Estimate informed by reported data supported by survey. Survey evidence of 95 percent based on 1 survey(s).   Programme reports two months stockout at national level.  GoC=R+ S+ D+	
